participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P08,74,File004,NJ5,z,V,76,167,z,1805,0 2,z,NJ5_zV_76_File004.wav
P08,92,File022,NJ8,zh,C,100,140,ž,2020,0 4,z,NJ8_zhC_100_File022.wav
P08,88,File033,NJ8,sh,V,11,172,š,1446,0 3,s,NJ8_shV_11_File033.wav
P08,80,File024,NJ5,zh,V,95,133,ž,1936,0 4,z,NJ5_zhV_95_File024.wav
P08,6,File016,NJ1,s,C,60,151,s,5560,0 0 1,s,NJ1_sC_60_File016.wav
P08,19,File020,NJ1,z,C,25,119,s,6134,0 0 1,s,NJ1_zC_25_File020.wav
P08,49,File006,NJ2,s,C,0,188,š,1798,0 3,s,NJ2_sC_0_File006.wav
P08,38,File006,NJ11,sh,C,7,135,š,1993,0 3,s,NJ11_shC_7_File006.wav
P08,12,File006,NJ1,sh,C,20,204,š,1486,0 3,s,NJ1_shC_20_File006.wav
P08,15,File029,NJ1,sh,V,17,186,š,2252,0 3,s,NJ1_shV_17_File029.wav
P08,53,File012,NJ2,s,V,27,216,s,3511,0 1,s,NJ2_sV_27_File012.wav
P08,46,File009,NJ11,z,V,92,124,z,1447,0 2,z,NJ11_zV_92_File009.wav
P08,13,File015,NJ1,sh,C,28,291,š,1496,0 3,s,NJ1_shC_28_File015.wav
P08,62,File012,NJ5,s,V,17,182,s,1648,0 1,s,NJ5_sV_17_File012.wav
P08,14,File033,NJ1,sh,V,8,251,š,1559,0 3,s,NJ1_shV_8_File033.wav
P08,43,File023,NJ11,z,C,30,99,s,6956,0 0 1,s,NJ11_zC_30_File023.wav
P08,98,File017,NJ9,sh,C,0,149,s,9891,0 3 1 0,s,NJ9_shC_0_File017.wav
P08,45,File044,NJ11,z,C,88,75,z,2266,0 2,z,NJ11_zC_88_File044.wav
P08,10,File004,NJ1,sh,C,10,207,š,2391,0 3,s,NJ1_shC_10_File004.wav
P08,106,File008,NJ9,zh,V,100,118,ž,1893,0 4,z,NJ9_zhV_100_File008.wav
P08,29,File025,NJ1,zh,V,17,117,š,6062,0 3,s,NJ1_zhV_17_File025.wav
P08,42,File034,NJ11,sh,V,25,163,š,7254,0 3,s,NJ11_shV_25_File034.wav
P08,54,File010,NJ2,z,C,100,93,z,9083,0 2,z,NJ2_zC_100_File010.wav
P08,37,File018,NJ11,sh,C,0,102,š,3045,0 3,s,NJ11_shC_0_File018.wav
P08,71,File011,NJ5,z,C,58,118,z,2690,0 2,z,NJ5_zC_58_File011.wav
P08,85,File023,NJ8,s,V,28,182,š,1967,0 3,s,NJ8_sV_28_File023.wav
P08,59,File006,NJ5,s,C,0,173,s,2119,0 1,s,NJ5_sC_0_File006.wav
P08,44,File034,NJ11,z,C,60,58,s,7760,0 0 1,s,NJ11_zC_60_File034.wav
P08,67,File031,NJ5,sh,V,9,224,š,2971,0 3,s,NJ5_shV_9_File031.wav
P08,64,File035,NJ5,sh,C,5,211,š,1647,0 3,s,NJ5_shC_5_File035.wav
P08,56,File021,NJ2,z,C,69,160,ž,1826,0 4,z,NJ2_zC_69_File021.wav
P08,65,File004,NJ5,sh,C,7,283,š,2789,0 3,s,NJ5_shC_7_File004.wav
P08,16,File011,NJ1,sh,V,26,227,š,2779,0 3,s,NJ1_shV_26_File011.wav
P08,66,File017,NJ5,sh,V,5,188,s,2848,0 1,s,NJ5_shV_5_File017.wav
P08,8,File005,NJ1,s,V,47,197,s,6127,0 0 1,s,NJ1_sV_47_File005.wav
P08,40,File038,NJ11,sh,C,68,183,š,1130,0 3,s,NJ11_shC_68_File038.wav
P08,101,File043,NJ9,z,C,36,115,ž,2056,0 4,z,NJ9_zC_36_File043.wav
P08,63,File015,NJ5,sh,C,0,97,š,2819,0 3,s,NJ5_shC_0_File015.wav
P08,48,File036,NJ11,zh,V,29,71,š,1468,0 3,s,NJ11_zhV_29_File036.wav
P08,84,File035,NJ8,s,V,19,212,š,2548,0 3,s,NJ8_sV_19_File035.wav
P08,34,File007,NJ11,s,C,40,96,s,2248,0 1,s,NJ11_sC_40_File007.wav
P08,39,File027,NJ11,sh,C,15,131,š,1403,0 3,s,NJ11_shC_15_File027.wav
P08,99,File043,NJ9,sh,V,13,163,š,2115,0 3,s,NJ9_shV_13_File043.wav
P08,90,File022,NJ8,z,C,100,112,z,1669,0 2,z,NJ8_zC_100_File022.wav
P08,86,File016,NJ8,sh,C,0,147,š,2225,0 3,s,NJ8_shC_0_File016.wav
P08,30,File013,NJ1,zh,V,33,148,š,3300,0 3,s,NJ1_zhV_33_File013.wav
P08,17,File020,NJ1,sh,V,42,186,š,1816,0 3,s,NJ1_shV_42_File020.wav
P08,104,File044,NJ9,zh,C,20,95,š,6380,0 3,s,NJ9_zhC_20_File044.wav
P08,91,File008,NJ8,z,V,60,114,z,6214,0 0 2,z,NJ8_zV_60_File008.wav
P08,52,File026,NJ2,s,V,5,200,š,1861,0 3,s,NJ2_sV_5_File026.wav
P08,60,File016,NJ5,s,C,8,127,s,1903,0 1,s,NJ5_sC_8_File016.wav
P08,4,File029,NJ1,s,C,0,173,s,1790,0 1,s,NJ1_sC_0_File029.wav
P08,22,File036,NJ1,z,V,8,127,s,5767,0 1,s,NJ1_zV_8_File036.wav
P08,102,File030,NJ9,z,V,22,96,ž,24067,0 3 0 4,z,NJ9_zV_22_File030.wav
P08,28,File025,NJ1,zh,V,8,117,š,3786,0 3,s,NJ1_zhV_8_File025.wav
P08,58,File008,NJ2,z,V,84,167,z,1093,0 2,z,NJ2_zV_84_File008.wav
P08,94,File025,NJ8,zh,V,62,134,z,2950,0 2,z,NJ8_zhV_62_File025.wav
P08,20,File031,NJ1,z,C,27,117,s,2786,0 1,s,NJ1_zC_27_File031.wav
P08,70,File010,NJ5,z,C,27,142,z,2017,0 2,z,NJ5_zC_27_File010.wav
P08,11,File016,NJ1,sh,C,15,200,š,1909,0 3,s,NJ1_shC_15_File016.wav
