participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P30,95,File035,NJ8,zh,V,92,121,ž,2999,0 4,z,NJ8_zhV_92_File035.wav
P30,93,File035,NJ8,zh,V,19,161,š,2501,0 3,s,NJ8_zhV_19_File035.wav
P30,70,File010,NJ5,z,C,27,142,s,2081,0 1,s,NJ5_zC_27_File010.wav
P30,77,File004,NJ5,zh,C,31,161,ž,2183,0 4,z,NJ5_zhC_31_File004.wav
P30,91,File008,NJ8,z,V,60,114,z,1989,0 2,z,NJ8_zV_60_File008.wav
P30,68,File020,NJ5,sh,V,18,171,š,2111,0 3,s,NJ5_shV_18_File020.wav
P30,43,File023,NJ11,z,C,30,99,š,1882,0 3,s,NJ11_zC_30_File023.wav
P30,94,File025,NJ8,zh,V,62,134,z,1640,0 2,z,NJ8_zhV_62_File025.wav
P30,67,File031,NJ5,sh,V,9,224,š,2256,0 3,s,NJ5_shV_9_File031.wav
P30,38,File006,NJ11,sh,C,7,135,š,1630,0 3,s,NJ11_shC_7_File006.wav
P30,66,File017,NJ5,sh,V,5,188,š,2179,0 3,s,NJ5_shV_5_File017.wav
P30,23,File004,NJ1,zh,C,0,126,ž,1922,0 4,z,NJ1_zhC_0_File004.wav
P30,48,File036,NJ11,zh,V,29,71,š,2424,0 3,s,NJ11_zhV_29_File036.wav
P30,101,File043,NJ9,z,C,36,115,z,2323,0 2,z,NJ9_zC_36_File043.wav
P30,11,File016,NJ1,sh,C,15,200,š,1816,0 3,s,NJ1_shC_15_File016.wav
P30,54,File010,NJ2,z,C,100,93,z,2051,0 2,z,NJ2_zC_100_File010.wav
P30,30,File013,NJ1,zh,V,33,148,š,1911,0 3,s,NJ1_zhV_33_File013.wav
P30,99,File043,NJ9,sh,V,13,163,š,2373,0 3,s,NJ9_shV_13_File043.wav
P30,61,File015,NJ5,s,V,13,163,s,1895,0 1,s,NJ5_sV_13_File015.wav
P30,51,File007,NJ2,s,C,7,142,s,1762,0 1,s,NJ2_sC_7_File007.wav
P30,5,File006,NJ1,s,C,13,247,s,1653,0 1,s,NJ1_sC_13_File006.wav
P30,56,File021,NJ2,z,C,69,160,z,1920,0 2,z,NJ2_zC_69_File021.wav
P30,62,File012,NJ5,s,V,17,182,s,2043,0 1,s,NJ5_sV_17_File012.wav
P30,103,File004,NJ9,z,V,33,124,z,2158,0 2,z,NJ9_zV_33_File004.wav
P30,37,File018,NJ11,sh,C,0,102,š,1754,0 3,s,NJ11_shC_0_File018.wav
P30,24,File044,NJ1,zh,C,8,129,ž,1705,0 4,z,NJ1_zhC_8_File044.wav
P30,19,File020,NJ1,z,C,25,119,s,2218,0 1,s,NJ1_zC_25_File020.wav
P30,55,File042,NJ2,z,C,11,179,s,2461,0 1,s,NJ2_zC_11_File042.wav
P30,40,File038,NJ11,sh,C,68,183,š,2079,0 3,s,NJ11_shC_68_File038.wav
P30,47,File034,NJ11,zh,C,100,94,ž,1837,0 4,z,NJ11_zhC_100_File034.wav
P30,96,File045,NJ9,s,V,5,212,s,1866,0 1,s,NJ9_sV_5_File045.wav
P30,25,File033,NJ1,zh,C,14,141,š,1606,0 3,s,NJ1_zhC_14_File033.wav
P30,22,File036,NJ1,z,V,8,127,s,1924,0 1,s,NJ1_zV_8_File036.wav
P30,6,File016,NJ1,s,C,60,151,s,1676,0 1,s,NJ1_sC_60_File016.wav
P30,63,File015,NJ5,sh,C,0,97,š,2732,0 3,s,NJ5_shC_0_File015.wav
P30,50,File027,NJ2,s,C,6,178,š,1650,0 3,s,NJ2_sC_6_File027.wav
P30,45,File044,NJ11,z,C,88,75,z,1887,0 2,z,NJ11_zC_88_File044.wav
P30,79,File034,NJ5,zh,V,55,112,ž,2040,0 4,z,NJ5_zhV_55_File034.wav
P30,15,File029,NJ1,sh,V,17,186,š,1251,0 3,s,NJ1_shV_17_File029.wav
P30,83,File038,NJ8,s,C,33,98,s,2288,0 1,s,NJ8_sC_33_File038.wav
P30,72,File009,NJ5,z,C,89,174,z,1459,0 2,z,NJ5_zC_89_File009.wav
P30,39,File027,NJ11,sh,C,15,131,š,1557,0 3,s,NJ11_shC_15_File027.wav
P30,90,File022,NJ8,z,C,100,112,z,1761,0 2,z,NJ8_zC_100_File022.wav
P30,20,File031,NJ1,z,C,27,117,z,1506,0 2,z,NJ1_zC_27_File031.wav
P30,18,File042,NJ1,z,C,100,88,z,1620,0 2,z,NJ1_zC_100_File042.wav
P30,32,File006,NJ11,s,C,0,140,s,1743,0 1,s,NJ11_sC_0_File006.wav
P30,17,File020,NJ1,sh,V,42,186,š,1968,0 3,s,NJ1_shV_42_File020.wav
P30,57,File025,NJ2,z,V,47,190,ž,2144,0 4,z,NJ2_zV_47_File025.wav
P30,85,File023,NJ8,s,V,28,182,s,2212,0 1,s,NJ8_sV_28_File023.wav
P30,100,File020,NJ9,z,C,100,108,z,1551,0 2,z,NJ9_zC_100_File020.wav
P30,27,File012,NJ1,zh,C,50,123,ž,2202,0 4,z,NJ1_zhC_50_File012.wav
P30,82,File007,NJ8,s,C,15,131,s,2588,0 1,s,NJ8_sC_15_File007.wav
P30,76,File025,NJ5,zh,C,27,145,š,1788,0 3,s,NJ5_zhC_27_File025.wav
P30,44,File034,NJ11,z,C,60,58,s,2196,0 1,s,NJ11_zC_60_File034.wav
P30,42,File034,NJ11,sh,V,25,163,š,1816,0 3,s,NJ11_shV_25_File034.wav
P30,53,File012,NJ2,s,V,27,216,s,1530,0 1,s,NJ2_sV_27_File012.wav
P30,21,File019,NJ1,z,V,56,92,s,2183,0 1,s,NJ1_zV_56_File019.wav
P30,98,File017,NJ9,sh,C,0,149,s,1644,0 1,s,NJ9_shC_0_File017.wav
P30,78,File013,NJ5,zh,V,7,140,ž,2769,0 2 4,z,NJ5_zhV_7_File013.wav
P30,33,File030,NJ11,s,C,9,112,s,1917,0 1,s,NJ11_sC_9_File030.wav
P30,87,File017,NJ8,sh,C,29,77,s,2348,0 1,s,NJ8_shC_29_File017.wav
P30,81,File017,NJ8,s,C,0,72,z,1399,0 2,z,NJ8_sC_0_File017.wav
P30,75,File021,NJ5,zh,C,100,107,ž,2178,0 4,z,NJ5_zhC_100_File021.wav
P30,41,File033,NJ11,sh,V,6,159,š,2332,0 3,s,NJ11_shV_6_File033.wav
P30,80,File024,NJ5,zh,V,95,133,ž,2176,0 4 4,z,NJ5_zhV_95_File024.wav
P30,26,File022,NJ1,zh,C,23,136,š,1462,0 3,s,NJ1_zhC_23_File022.wav
P30,86,File016,NJ8,sh,C,0,147,š,1904,0 3,s,NJ8_shC_0_File016.wav
P30,89,File043,NJ8,sh,V,33,205,š,1661,0 3,s,NJ8_shV_33_File043.wav
P30,73,File009,NJ5,z,V,57,213,z,1526,0 2,z,NJ5_zV_57_File009.wav
P30,58,File008,NJ2,z,V,84,167,z,1651,0 2,z,NJ2_zV_84_File008.wav
P30,92,File022,NJ8,zh,C,100,140,z,1518,0 2,z,NJ8_zhC_100_File022.wav
P30,14,File033,NJ1,sh,V,8,251,š,1075,0 3,s,NJ1_shV_8_File033.wav
P30,104,File044,NJ9,zh,C,20,95,s,1978,0 1,s,NJ9_zhC_20_File044.wav
P30,105,File022,NJ9,zh,C,62,124,š,2201,0 3,s,NJ9_zhC_62_File022.wav
P30,28,File025,NJ1,zh,V,8,117,š,2162,0 3,s,NJ1_zhV_8_File025.wav
