participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P26,63,File015,NJ5,sh,C,0,97,š,4710,0 0 3,s,NJ5_shC_0_File015.wav
P26,56,File021,NJ2,z,C,69,160,ž,3834,0 0 4,z,NJ2_zC_69_File021.wav
P26,96,File045,NJ9,s,V,5,212,s,1565,0 1,s,NJ9_sV_5_File045.wav
P26,38,File006,NJ11,sh,C,7,135,š,1228,0 3,s,NJ11_shC_7_File006.wav
P26,52,File026,NJ2,s,V,5,200,š,3743,0 3 0,s,NJ2_sV_5_File026.wav
P26,7,File022,NJ1,s,V,12,255,s,1354,0 1,s,NJ1_sV_12_File022.wav
P26,42,File034,NJ11,sh,V,25,163,š,3530,0 3 0,s,NJ11_shV_25_File034.wav
P26,31,File013,NJ1,zh,V,58,120,ž,1356,0 4,z,NJ1_zhV_58_File013.wav
P26,34,File007,NJ11,s,C,40,96,s,4886,0 0 1,s,NJ11_sC_40_File007.wav
P26,18,File042,NJ1,z,C,100,88,z,1446,0 2,z,NJ1_zC_100_File042.wav
P26,86,File016,NJ8,sh,C,0,147,š,1085,0 3,s,NJ8_shC_0_File016.wav
P26,41,File033,NJ11,sh,V,6,159,ž,6905,0 0 4,z,NJ11_shV_6_File033.wav
P26,76,File025,NJ5,zh,C,27,145,ž,1155,0 4,z,NJ5_zhC_27_File025.wav
P26,102,File030,NJ9,z,V,22,96,s,1331,0 1,s,NJ9_zV_22_File030.wav
P26,104,File044,NJ9,zh,C,20,95,š,6997,0 0 3,s,NJ9_zhC_20_File044.wav
P26,16,File011,NJ1,sh,V,26,227,š,1307,0 3,s,NJ1_shV_26_File011.wav
P26,48,File036,NJ11,zh,V,29,71,ž,1586,0 4,z,NJ11_zhV_29_File036.wav
P26,93,File035,NJ8,zh,V,19,161,ž,945,0 4,z,NJ8_zhV_19_File035.wav
P26,75,File021,NJ5,zh,C,100,107,ž,1414,0 4,z,NJ5_zhC_100_File021.wav
P26,15,File029,NJ1,sh,V,17,186,š,854,0 3,s,NJ1_shV_17_File029.wav
P26,66,File017,NJ5,sh,V,5,188,š,933,0 3,s,NJ5_shV_5_File017.wav
P26,98,File017,NJ9,sh,C,0,149,š,1528,0 3,s,NJ9_shC_0_File017.wav
P26,20,File031,NJ1,z,C,27,117,z,5668,0 0 2,z,NJ1_zC_27_File031.wav
P26,79,File034,NJ5,zh,V,55,112,ž,1166,0 4,z,NJ5_zhV_55_File034.wav
P26,24,File044,NJ1,zh,C,8,129,ž,1334,0 4,z,NJ1_zhC_8_File044.wav
P26,103,File004,NJ9,z,V,33,124,ž,1218,0 4,z,NJ9_zV_33_File004.wav
P26,99,File043,NJ9,sh,V,13,163,š,1157,0 3,s,NJ9_shV_13_File043.wav
P26,69,File032,NJ5,z,C,100,119,z,1126,0 2,z,NJ5_zC_100_File032.wav
P26,55,File042,NJ2,z,C,11,179,š,2186,0 3,s,NJ2_zC_11_File042.wav
P26,100,File020,NJ9,z,C,100,108,z,900,0 2,z,NJ9_zC_100_File020.wav
P26,14,File033,NJ1,sh,V,8,251,š,904,0 3,s,NJ1_shV_8_File033.wav
P26,97,File016,NJ9,s,V,8,241,š,1395,0 3,s,NJ9_sV_8_File016.wav
P26,39,File027,NJ11,sh,C,15,131,š,839,0 3,s,NJ11_shC_15_File027.wav
P26,23,File004,NJ1,zh,C,0,126,ž,8438,0 0 4,z,NJ1_zhC_0_File004.wav
P26,107,File003,NJ9,zh,V,29,146,š,1203,0 3,s,NJ9_zhV_29_File003.wav
P26,53,File012,NJ2,s,V,27,216,s,1002,0 1,s,NJ2_sV_27_File012.wav
P26,13,File015,NJ1,sh,C,28,291,š,766,0 3,s,NJ1_shC_28_File015.wav
P26,77,File004,NJ5,zh,C,31,161,ž,918,0 4,z,NJ5_zhC_31_File004.wav
P26,95,File035,NJ8,zh,V,92,121,ž,935,0 4,z,NJ8_zhV_92_File035.wav
P26,84,File035,NJ8,s,V,19,212,s,1717,0 1,s,NJ8_sV_19_File035.wav
P26,12,File006,NJ1,sh,C,20,204,š,794,0 3,s,NJ1_shC_20_File006.wav
P26,33,File030,NJ11,s,C,9,112,z,789,0 2,z,NJ11_sC_9_File030.wav
P26,25,File033,NJ1,zh,C,14,141,š,1163,0 3,s,NJ1_zhC_14_File033.wav
P26,49,File006,NJ2,s,C,0,188,s,846,0 1,s,NJ2_sC_0_File006.wav
P26,101,File043,NJ9,z,C,36,115,z,942,0 2,z,NJ9_zC_36_File043.wav
P26,105,File022,NJ9,zh,C,62,124,ž,1137,0 4,z,NJ9_zhC_62_File022.wav
P26,10,File004,NJ1,sh,C,10,207,š,746,0 3,s,NJ1_shC_10_File004.wav
P26,68,File020,NJ5,sh,V,18,171,š,2257,0 3,s,NJ5_shV_18_File020.wav
P26,74,File004,NJ5,z,V,76,167,z,2239,0 2,z,NJ5_zV_76_File004.wav
P26,64,File035,NJ5,sh,C,5,211,š,1786,0 3,s,NJ5_shC_5_File035.wav
P26,62,File012,NJ5,s,V,17,182,s,1072,0 1,s,NJ5_sV_17_File012.wav
P26,57,File025,NJ2,z,V,47,190,ž,847,0 4,z,NJ2_zV_47_File025.wav
