participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P18,46,File009,NJ11,z,V,92,124,z,2442,0 2,z,NJ11_zV_92_File009.wav
P18,23,File004,NJ1,zh,C,0,126,ž,1522,0 4,z,NJ1_zhC_0_File004.wav
P18,88,File033,NJ8,sh,V,11,172,š,873,0 3,s,NJ8_shV_11_File033.wav
P18,47,File034,NJ11,zh,C,100,94,ž,1991,0 4,z,NJ11_zhC_100_File034.wav
P18,9,File038,NJ1,sh,C,0,181,š,798,0 3,s,NJ1_shC_0_File038.wav
P18,12,File006,NJ1,sh,C,20,204,š,1414,0 3,s,NJ1_shC_20_File006.wav
P18,10,File004,NJ1,sh,C,10,207,š,1094,0 3,s,NJ1_shC_10_File004.wav
P18,34,File007,NJ11,s,C,40,96,s,1218,0 1,s,NJ11_sC_40_File007.wav
P18,59,File006,NJ5,s,C,0,173,s,4802,0 0 1,s,NJ5_sC_0_File006.wav
P18,103,File004,NJ9,z,V,33,124,z,1203,0 2,z,NJ9_zV_33_File004.wav
P18,72,File009,NJ5,z,C,89,174,z,908,0 2,z,NJ5_zC_89_File009.wav
P18,33,File030,NJ11,s,C,9,112,s,1228,0 1,s,NJ11_sC_9_File030.wav
P18,67,File031,NJ5,sh,V,9,224,š,1199,0 3,s,NJ5_shV_9_File031.wav
P18,26,File022,NJ1,zh,C,23,136,š,1779,0 3,s,NJ1_zhC_23_File022.wav
P18,70,File010,NJ5,z,C,27,142,z,895,0 2,z,NJ5_zC_27_File010.wav
P18,99,File043,NJ9,sh,V,13,163,š,972,0 3,s,NJ9_shV_13_File043.wav
P18,65,File004,NJ5,sh,C,7,283,š,4698,0 0 3,s,NJ5_shC_7_File004.wav
P18,28,File025,NJ1,zh,V,8,117,š,1135,0 3,s,NJ1_zhV_8_File025.wav
P18,56,File021,NJ2,z,C,69,160,z,1427,0 2,z,NJ2_zC_69_File021.wav
P18,41,File033,NJ11,sh,V,6,159,š,811,0 3,s,NJ11_shV_6_File033.wav
P18,31,File013,NJ1,zh,V,58,120,ž,4923,0 0 4,z,NJ1_zhV_58_File013.wav
P18,97,File016,NJ9,s,V,8,241,s,1735,0 1,s,NJ9_sV_8_File016.wav
P18,84,File035,NJ8,s,V,19,212,s,7381,0 0 1,s,NJ8_sV_19_File035.wav
P18,101,File043,NJ9,z,C,36,115,z,4049,0 0 2,z,NJ9_zC_36_File043.wav
P18,38,File006,NJ11,sh,C,7,135,š,888,0 3,s,NJ11_shC_7_File006.wav
P18,35,File005,NJ11,s,V,7,151,s,6843,0 0 1,s,NJ11_sV_7_File005.wav
P18,29,File025,NJ1,zh,V,17,117,š,5270,0 0 3,s,NJ1_zhV_17_File025.wav
P18,53,File012,NJ2,s,V,27,216,s,2342,0 1,s,NJ2_sV_27_File012.wav
P18,42,File034,NJ11,sh,V,25,163,š,1206,0 3,s,NJ11_shV_25_File034.wav
P18,63,File015,NJ5,sh,C,0,97,ž,2122,0 4,z,NJ5_shC_0_File015.wav
P18,52,File026,NJ2,s,V,5,200,s,4397,0 0 1,s,NJ2_sV_5_File026.wav
P18,55,File042,NJ2,z,C,11,179,z,6036,0 0 2,z,NJ2_zC_11_File042.wav
P18,87,File017,NJ8,sh,C,29,77,s,6823,0 0 1,s,NJ8_shC_29_File017.wav
P18,62,File012,NJ5,s,V,17,182,s,4373,0 0 1,s,NJ5_sV_17_File012.wav
