participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P12,16,File011,NJ1,sh,V,26,227,š,2036,0 3,s,NJ1_shV_26_File011.wav
P12,11,File016,NJ1,sh,C,15,200,š,1547,0 3,s,NJ1_shC_15_File016.wav
P12,77,File004,NJ5,zh,C,31,161,ž,1674,0 4,z,NJ5_zhC_31_File004.wav
P12,34,File007,NJ11,s,C,40,96,s,1640,0 1,s,NJ11_sC_40_File007.wav
P12,8,File005,NJ1,s,V,47,197,s,2001,0 1,s,NJ1_sV_47_File005.wav
P12,83,File038,NJ8,s,C,33,98,s,4975,0 1,s,NJ8_sC_33_File038.wav
P12,62,File012,NJ5,s,V,17,182,s,2170,0 1,s,NJ5_sV_17_File012.wav
P12,80,File024,NJ5,zh,V,95,133,ž,1395,0 4,z,NJ5_zhV_95_File024.wav
P12,46,File009,NJ11,z,V,92,124,z,1945,0 2,z,NJ11_zV_92_File009.wav
P12,27,File012,NJ1,zh,C,50,123,ž,1833,0 4,z,NJ1_zhC_50_File012.wav
P12,22,File036,NJ1,z,V,8,127,s,2309,0 1,s,NJ1_zV_8_File036.wav
P12,86,File016,NJ8,sh,C,0,147,š,2054,0 3,s,NJ8_shC_0_File016.wav
P12,30,File013,NJ1,zh,V,33,148,š,2004,0 3,s,NJ1_zhV_33_File013.wav
P12,19,File020,NJ1,z,C,25,119,s,1827,0 1,s,NJ1_zC_25_File020.wav
P12,96,File045,NJ9,s,V,5,212,s,1535,0 1,s,NJ9_sV_5_File045.wav
P12,9,File038,NJ1,sh,C,0,181,š,2575,0 3,s,NJ1_shC_0_File038.wav
P12,84,File035,NJ8,s,V,19,212,š,3803,0 3,s,NJ8_sV_19_File035.wav
P12,49,File006,NJ2,s,C,0,188,s,1703,0 1,s,NJ2_sC_0_File006.wav
P12,38,File006,NJ11,sh,C,7,135,š,1603,0 3,s,NJ11_shC_7_File006.wav
P12,58,File008,NJ2,z,V,84,167,z,1633,0 2,z,NJ2_zV_84_File008.wav
P12,70,File010,NJ5,z,C,27,142,z,1990,0 2,z,NJ5_zC_27_File010.wav
P12,66,File017,NJ5,sh,V,5,188,š,1712,0 3,s,NJ5_shV_5_File017.wav
P12,51,File007,NJ2,s,C,7,142,s,1689,0 1,s,NJ2_sC_7_File007.wav
P12,56,File021,NJ2,z,C,69,160,z,1596,0 2,z,NJ2_zC_69_File021.wav
P12,60,File016,NJ5,s,C,8,127,s,1661,0 1,s,NJ5_sC_8_File016.wav
P12,7,File022,NJ1,s,V,12,255,s,1905,0 1,s,NJ1_sV_12_File022.wav
P12,14,File033,NJ1,sh,V,8,251,š,1653,0 3,s,NJ1_shV_8_File033.wav
P12,75,File021,NJ5,zh,C,100,107,ž,3044,0 4,z,NJ5_zhC_100_File021.wav
P12,18,File042,NJ1,z,C,100,88,z,5373,0 0 2,z,NJ1_zC_100_File042.wav
P12,33,File030,NJ11,s,C,9,112,s,1716,0 1,s,NJ11_sC_9_File030.wav
P12,107,File003,NJ9,zh,V,29,146,š,1552,0 3,s,NJ9_zhV_29_File003.wav
P12,88,File033,NJ8,sh,V,11,172,š,2598,0 3,s,NJ8_shV_11_File033.wav
P12,104,File044,NJ9,zh,C,20,95,š,1659,0 3,s,NJ9_zhC_20_File044.wav
P12,63,File015,NJ5,sh,C,0,97,š,2449,0 3,s,NJ5_shC_0_File015.wav
P12,71,File011,NJ5,z,C,58,118,ž,1643,0 4,z,NJ5_zC_58_File011.wav
P12,23,File004,NJ1,zh,C,0,126,ž,1788,0 4,z,NJ1_zhC_0_File004.wav
P12,13,File015,NJ1,sh,C,28,291,š,2272,0 3,s,NJ1_shC_28_File015.wav
P12,57,File025,NJ2,z,V,47,190,ž,2370,0 4,z,NJ2_zV_47_File025.wav
