participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P10,25,File033,NJ1,zh,C,14,141,š,2691,0 3,s,NJ1_zhC_14_File033.wav
P10,68,File020,NJ5,sh,V,18,171,š,2973,0 3,s,NJ5_shV_18_File020.wav
P10,27,File012,NJ1,zh,C,50,123,ž,2397,0 4,z,NJ1_zhC_50_File012.wav
P10,60,File016,NJ5,s,C,8,127,s,1858,0 1,s,NJ5_sC_8_File016.wav
P10,40,File038,NJ11,sh,C,68,183,š,2472,0 3,s,NJ11_shC_68_File038.wav
P10,24,File044,NJ1,zh,C,8,129,š,2338,0 3,s,NJ1_zhC_8_File044.wav
P10,21,File019,NJ1,z,V,56,92,s,1870,0 1,s,NJ1_zV_56_File019.wav
P10,52,File026,NJ2,s,V,5,200,s,3603,0 1,s,NJ2_sV_5_File026.wav
P10,91,File008,NJ8,z,V,60,114,z,2123,0 2,z,NJ8_zV_60_File008.wav
P10,82,File007,NJ8,s,C,15,131,s,1972,0 1,s,NJ8_sC_15_File007.wav
P10,73,File009,NJ5,z,V,57,213,z,1998,0 2,z,NJ5_zV_57_File009.wav
P10,30,File013,NJ1,zh,V,33,148,š,2677,0 3,s,NJ1_zhV_33_File013.wav
P10,58,File008,NJ2,z,V,84,167,z,2039,0 2,z,NJ2_zV_84_File008.wav
P10,93,File035,NJ8,zh,V,19,161,ž,2666,0 4,z,NJ8_zhV_19_File035.wav
P10,85,File023,NJ8,s,V,28,182,s,2495,0 1,s,NJ8_sV_28_File023.wav
P10,14,File033,NJ1,sh,V,8,251,š,1854,0 3,s,NJ1_shV_8_File033.wav
P10,20,File031,NJ1,z,C,27,117,s,7544,0 0 1,s,NJ1_zC_27_File031.wav
P10,10,File004,NJ1,sh,C,10,207,š,2391,0 3,s,NJ1_shC_10_File004.wav
P10,102,File030,NJ9,z,V,22,96,s,2839,0 1,s,NJ9_zV_22_File030.wav
P10,62,File012,NJ5,s,V,17,182,s,2683,0 1,s,NJ5_sV_17_File012.wav
P10,19,File020,NJ1,z,C,25,119,s,2115,0 1,s,NJ1_zC_25_File020.wav
P10,74,File004,NJ5,z,V,76,167,z,1848,0 2,z,NJ5_zV_76_File004.wav
P10,36,File035,NJ11,s,V,33,148,s,1885,0 1,s,NJ11_sV_33_File035.wav
