participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P09,45,File044,NJ11,z,C,88,75,z,7503,0 0 2,z,NJ11_zC_88_File044.wav
P09,81,File017,NJ8,s,C,0,72,š,3947,0 3,s,NJ8_sC_0_File017.wav
P09,15,File029,NJ1,sh,V,17,186,š,2684,0 3,s,NJ1_shV_17_File029.wav
P09,44,File034,NJ11,z,C,60,58,s,6500,0 0 1,s,NJ11_zC_60_File034.wav
P09,85,File023,NJ8,s,V,28,182,š,4437,0 3,s,NJ8_sV_28_File023.wav
P09,38,File006,NJ11,sh,C,7,135,š,3394,0 3,s,NJ11_shC_7_File006.wav
P09,43,File023,NJ11,z,C,30,99,z,2800,0 2,z,NJ11_zC_30_File023.wav
P09,59,File006,NJ5,s,C,0,173,s,3786,0 1,s,NJ5_sC_0_File006.wav
P09,11,File016,NJ1,sh,C,15,200,š,2505,0 3,s,NJ1_shC_15_File016.wav
P09,9,File038,NJ1,sh,C,0,181,š,3227,0 3,s,NJ1_shC_0_File038.wav
P09,26,File022,NJ1,zh,C,23,136,ž,6707,0 0 4,z,NJ1_zhC_23_File022.wav
P09,69,File032,NJ5,z,C,100,119,z,2751,0 2,z,NJ5_zC_100_File032.wav
P09,24,File044,NJ1,zh,C,8,129,š,2960,0 3,s,NJ1_zhC_8_File044.wav
P09,36,File035,NJ11,s,V,33,148,s,2168,0 1,s,NJ11_sV_33_File035.wav
P09,76,File025,NJ5,zh,C,27,145,ž,5946,0 0 4,z,NJ5_zhC_27_File025.wav
P09,91,File008,NJ8,z,V,60,114,z,2292,0 2,z,NJ8_zV_60_File008.wav
P09,96,File045,NJ9,s,V,5,212,s,2522,0 1,s,NJ9_sV_5_File045.wav
P09,17,File020,NJ1,sh,V,42,186,š,2214,0 3,s,NJ1_shV_42_File020.wav
P09,7,File022,NJ1,s,V,12,255,s,1982,0 1,s,NJ1_sV_12_File022.wav
P09,105,File022,NJ9,zh,C,62,124,š,2095,0 3,s,NJ9_zhC_62_File022.wav
P09,74,File004,NJ5,z,V,76,167,z,2490,0 2,z,NJ5_zV_76_File004.wav
P09,70,File010,NJ5,z,C,27,142,z,2185,0 2,z,NJ5_zC_27_File010.wav
