participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P27,88,File033,NJ8,sh,V,11,172,š,10268,0 0 3,s,NJ8_shV_11_File033.wav
P27,92,File022,NJ8,zh,C,100,140,ž,17143,0 0 4,z,NJ8_zhC_100_File022.wav
P27,42,File034,NJ11,sh,V,25,163,š,7057,0 3,s,NJ11_shV_25_File034.wav
P27,34,File007,NJ11,s,C,40,96,s,2889,0 1,s,NJ11_sC_40_File007.wav
P27,106,File008,NJ9,zh,V,100,118,z,11601,0 0 2,z,NJ9_zhV_100_File008.wav
P27,86,File016,NJ8,sh,C,0,147,š,13664,0 0 1 3,s,NJ8_shC_0_File016.wav
P27,84,File035,NJ8,s,V,19,212,š,3524,0 3,s,NJ8_sV_19_File035.wav
P27,47,File034,NJ11,zh,C,100,94,z,12204,0 0 2,z,NJ11_zhC_100_File034.wav
P27,81,File017,NJ8,s,C,0,72,s,10154,0 0 1,s,NJ8_sC_0_File017.wav
P27,5,File006,NJ1,s,C,13,247,s,7042,0 1,s,NJ1_sC_13_File006.wav
P27,105,File022,NJ9,zh,C,62,124,š,3571,0 3,s,NJ9_zhC_62_File022.wav
P27,33,File030,NJ11,s,C,9,112,s,2996,0 1,s,NJ11_sC_9_File030.wav
P27,51,File007,NJ2,s,C,7,142,š,12842,0 0 3,s,NJ2_sC_7_File007.wav
P27,98,File017,NJ9,sh,C,0,149,s,10191,0 0 1,s,NJ9_shC_0_File017.wav
P27,40,File038,NJ11,sh,C,68,183,š,3989,0 3,s,NJ11_shC_68_File038.wav
P27,48,File036,NJ11,zh,V,29,71,ž,11695,0 0 4,z,NJ11_zhV_29_File036.wav
P27,67,File031,NJ5,sh,V,9,224,š,3780,0 3,s,NJ5_shV_9_File031.wav
P27,26,File022,NJ1,zh,C,23,136,š,12123,0 3 0,s,NJ1_zhC_23_File022.wav
P27,18,File042,NJ1,z,C,100,88,z,7397,0 0 2,z,NJ1_zC_100_File042.wav
P27,32,File006,NJ11,s,C,0,140,s,3279,0 1,s,NJ11_sC_0_File006.wav
P27,76,File025,NJ5,zh,C,27,145,ž,10518,0 0 4,z,NJ5_zhC_27_File025.wav
P27,9,File038,NJ1,sh,C,0,181,š,6805,0 3,s,NJ1_shC_0_File038.wav
P27,13,File015,NJ1,sh,C,28,291,š,6881,0 3,s,NJ1_shC_28_File015.wav
P27,61,File015,NJ5,s,V,13,163,s,6328,0 0 1,s,NJ5_sV_13_File015.wav
P27,94,File025,NJ8,zh,V,62,134,z,3181,0 2,z,NJ8_zhV_62_File025.wav
P27,49,File006,NJ2,s,C,0,188,s,2379,0 1,s,NJ2_sC_0_File006.wav
P27,104,File044,NJ9,zh,C,20,95,š,4783,0 3,s,NJ9_zhC_20_File044.wav
P27,59,File006,NJ5,s,C,0,173,s,1338,0 1,s,NJ5_sC_0_File006.wav
P27,68,File020,NJ5,sh,V,18,171,š,23349,0 3 0,s,NJ5_shV_18_File020.wav
P27,97,File016,NJ9,s,V,8,241,s,5354,0 1,s,NJ9_sV_8_File016.wav
P27,52,File026,NJ2,s,V,5,200,š,3146,0 3,s,NJ2_sV_5_File026.wav
P27,89,File043,NJ8,sh,V,33,205,š,9254,0 0 3,s,NJ8_shV_33_File043.wav
P27,39,File027,NJ11,sh,C,15,131,š,1863,0 3,s,NJ11_shC_15_File027.wav
P27,56,File021,NJ2,z,C,69,160,z,18411,0 0 2,z,NJ2_zC_69_File021.wav
P27,30,File013,NJ1,zh,V,33,148,s,53978,0 0 1,s,NJ1_zhV_33_File013.wav
P27,44,File034,NJ11,z,C,60,58,s,95385,0 0 1,s,NJ11_zC_60_File034.wav
P27,63,File015,NJ5,sh,C,0,97,š,20555,0 0 3,s,NJ5_shC_0_File015.wav
P27,24,File044,NJ1,zh,C,8,129,š,1848,0 3,s,NJ1_zhC_8_File044.wav
P27,21,File019,NJ1,z,V,56,92,s,2056,0 1,s,NJ1_zV_56_File019.wav
P27,8,File005,NJ1,s,V,47,197,s,1877,0 1,s,NJ1_sV_47_File005.wav
P27,58,File008,NJ2,z,V,84,167,z,1976,0 2,z,NJ2_zV_84_File008.wav
P27,82,File007,NJ8,s,C,15,131,s,1826,0 1,s,NJ8_sC_15_File007.wav
P27,28,File025,NJ1,zh,V,8,117,š,1500,0 3,s,NJ1_zhV_8_File025.wav
P27,25,File033,NJ1,zh,C,14,141,š,2484,0 3,s,NJ1_zhC_14_File033.wav
P27,57,File025,NJ2,z,V,47,190,z,2990,0 2,z,NJ2_zV_47_File025.wav
P27,53,File012,NJ2,s,V,27,216,s,1794,0 1,s,NJ2_sV_27_File012.wav
P27,6,File016,NJ1,s,C,60,151,s,2018,0 1,s,NJ1_sC_60_File016.wav
P27,36,File035,NJ11,s,V,33,148,s,3594,0 1,s,NJ11_sV_33_File035.wav
P27,35,File005,NJ11,s,V,7,151,s,6069,0 1 0,s,NJ11_sV_7_File005.wav
P27,11,File016,NJ1,sh,C,15,200,š,2347,0 3,s,NJ1_shC_15_File016.wav
P27,46,File009,NJ11,z,V,92,124,z,1747,0 2,z,NJ11_zV_92_File009.wav
P27,80,File024,NJ5,zh,V,95,133,ž,2994,0 4,z,NJ5_zhV_95_File024.wav
P27,78,File013,NJ5,zh,V,7,140,ž,1662,0 4,z,NJ5_zhV_7_File013.wav
P27,93,File035,NJ8,zh,V,19,161,ž,2927,0 4,z,NJ8_zhV_19_File035.wav
P27,29,File025,NJ1,zh,V,17,117,š,2563,0 3,s,NJ1_zhV_17_File025.wav
