participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P25,60,File016,NJ5,s,C,8,127,s,4687,0 1,s,NJ5_sC_8_File016.wav
P25,82,File007,NJ8,s,C,15,131,š,1809,0 3,s,NJ8_sC_15_File007.wav
P25,70,File010,NJ5,z,C,27,142,z,2017,0 2,z,NJ5_zC_27_File010.wav
P25,14,File033,NJ1,sh,V,8,251,š,1757,0 3,s,NJ1_shV_8_File033.wav
P25,19,File020,NJ1,z,C,25,119,z,2600,0 2,z,NJ1_zC_25_File020.wav
P25,17,File020,NJ1,sh,V,42,186,š,1640,0 3,s,NJ1_shV_42_File020.wav
P25,101,File043,NJ9,z,C,36,115,ž,1787,0 4,z,NJ9_zC_36_File043.wav
P25,12,File006,NJ1,sh,C,20,204,š,1559,0 3,s,NJ1_shC_20_File006.wav
P25,23,File004,NJ1,zh,C,0,126,ž,2436,0 4,z,NJ1_zhC_0_File004.wav
P25,41,File033,NJ11,sh,V,6,159,š,1449,0 3,s,NJ11_shV_6_File033.wav
P25,16,File011,NJ1,sh,V,26,227,š,1555,0 3,s,NJ1_shV_26_File011.wav
P25,97,File016,NJ9,s,V,8,241,s,1770,0 1,s,NJ9_sV_8_File016.wav
P25,74,File004,NJ5,z,V,76,167,z,1432,0 2,z,NJ5_zV_76_File004.wav
P25,15,File029,NJ1,sh,V,17,186,š,1443,0 3,s,NJ1_shV_17_File029.wav
P25,105,File022,NJ9,zh,C,62,124,ž,2113,0 4,z,NJ9_zhC_62_File022.wav
P25,55,File042,NJ2,z,C,11,179,z,1632,0 2,z,NJ2_zC_11_File042.wav
P25,73,File009,NJ5,z,V,57,213,z,1459,0 2,z,NJ5_zV_57_File009.wav
P25,80,File024,NJ5,zh,V,95,133,ž,1694,0 4,z,NJ5_zhV_95_File024.wav
P25,100,File020,NJ9,z,C,100,108,ž,1864,0 4,z,NJ9_zC_100_File020.wav
P25,13,File015,NJ1,sh,C,28,291,š,1414,0 3,s,NJ1_shC_28_File015.wav
P25,39,File027,NJ11,sh,C,15,131,š,1723,0 3,s,NJ11_shC_15_File027.wav
P25,89,File043,NJ8,sh,V,33,205,š,1918,0 3,s,NJ8_shV_33_File043.wav
P25,51,File007,NJ2,s,C,7,142,s,1549,0 1,s,NJ2_sC_7_File007.wav
P25,75,File021,NJ5,zh,C,100,107,ž,1704,0 4,z,NJ5_zhC_100_File021.wav
P25,5,File006,NJ1,s,C,13,247,s,1675,0 1,s,NJ1_sC_13_File006.wav
P25,64,File035,NJ5,sh,C,5,211,š,1526,0 3,s,NJ5_shC_5_File035.wav
P25,85,File023,NJ8,s,V,28,182,š,1508,0 3,s,NJ8_sV_28_File023.wav
P25,7,File022,NJ1,s,V,12,255,s,1533,0 1,s,NJ1_sV_12_File022.wav
P25,76,File025,NJ5,zh,C,27,145,ž,1646,0 4,z,NJ5_zhC_27_File025.wav
P25,9,File038,NJ1,sh,C,0,181,š,1642,0 3,s,NJ1_shC_0_File038.wav
P25,43,File023,NJ11,z,C,30,99,z,1842,0 2,z,NJ11_zC_30_File023.wav
P25,4,File029,NJ1,s,C,0,173,s,1933,0 1,s,NJ1_sC_0_File029.wav
P25,81,File017,NJ8,s,C,0,72,ž,1913,0 4,z,NJ8_sC_0_File017.wav
P25,65,File004,NJ5,sh,C,7,283,š,1311,0 3,s,NJ5_shC_7_File004.wav
P25,29,File025,NJ1,zh,V,17,117,š,2528,0 3,s,NJ1_zhV_17_File025.wav
P25,50,File027,NJ2,s,C,6,178,š,2034,0 3,s,NJ2_sC_6_File027.wav
P25,63,File015,NJ5,sh,C,0,97,ž,2369,0 4,z,NJ5_shC_0_File015.wav
P25,103,File004,NJ9,z,V,33,124,ž,1433,0 4,z,NJ9_zV_33_File004.wav
P25,92,File022,NJ8,zh,C,100,140,s,2598,0 1,s,NJ8_zhC_100_File022.wav
P25,68,File020,NJ5,sh,V,18,171,š,1785,0 3,s,NJ5_shV_18_File020.wav
P25,40,File038,NJ11,sh,C,68,183,š,1735,0 3,s,NJ11_shC_68_File038.wav
P25,35,File005,NJ11,s,V,7,151,z,1941,0 2,z,NJ11_sV_7_File005.wav
P25,91,File008,NJ8,z,V,60,114,z,1527,0 2,z,NJ8_zV_60_File008.wav
P25,18,File042,NJ1,z,C,100,88,z,2139,0 2,z,NJ1_zC_100_File042.wav
P25,61,File015,NJ5,s,V,13,163,s,1707,0 1,s,NJ5_sV_13_File015.wav
P25,42,File034,NJ11,sh,V,25,163,š,1351,0 3,s,NJ11_shV_25_File034.wav
P25,45,File044,NJ11,z,C,88,75,z,1774,0 2,z,NJ11_zC_88_File044.wav
P25,88,File033,NJ8,sh,V,11,172,š,1638,0 3,s,NJ8_shV_11_File033.wav
P25,34,File007,NJ11,s,C,40,96,s,2007,0 1,s,NJ11_sC_40_File007.wav
P25,86,File016,NJ8,sh,C,0,147,š,1489,0 3,s,NJ8_shC_0_File016.wav
P25,44,File034,NJ11,z,C,60,58,z,2361,0 2,z,NJ11_zC_60_File034.wav
P25,59,File006,NJ5,s,C,0,173,š,1538,0 3,s,NJ5_sC_0_File006.wav
P25,21,File019,NJ1,z,V,56,92,š,1847,0 3,s,NJ1_zV_56_File019.wav
P25,58,File008,NJ2,z,V,84,167,z,1349,0 2,z,NJ2_zV_84_File008.wav
P25,52,File026,NJ2,s,V,5,200,s,1832,0 1,s,NJ2_sV_5_File026.wav
P25,37,File018,NJ11,sh,C,0,102,š,1542,0 3,s,NJ11_shC_0_File018.wav
P25,83,File038,NJ8,s,C,33,98,s,1714,0 1,s,NJ8_sC_33_File038.wav
P25,72,File009,NJ5,z,C,89,174,z,1352,0 2,z,NJ5_zC_89_File009.wav
P25,98,File017,NJ9,sh,C,0,149,š,1506,0 3,s,NJ9_shC_0_File017.wav
P25,84,File035,NJ8,s,V,19,212,š,1419,0 3,s,NJ8_sV_19_File035.wav
P25,106,File008,NJ9,zh,V,100,118,ž,1657,0 4,z,NJ9_zhV_100_File008.wav
P25,20,File031,NJ1,z,C,27,117,s,1690,0 1,s,NJ1_zC_27_File031.wav
P25,28,File025,NJ1,zh,V,8,117,š,1425,0 3,s,NJ1_zhV_8_File025.wav
P25,11,File016,NJ1,sh,C,15,200,š,1393,0 3,s,NJ1_shC_15_File016.wav
P25,24,File044,NJ1,zh,C,8,129,ž,1871,0 4,z,NJ1_zhC_8_File044.wav
P25,47,File034,NJ11,zh,C,100,94,ž,1636,0 4,z,NJ11_zhC_100_File034.wav
P25,102,File030,NJ9,z,V,22,96,ž,2240,0 4,z,NJ9_zV_22_File030.wav
P25,6,File016,NJ1,s,C,60,151,s,1764,0 1,s,NJ1_sC_60_File016.wav
