participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P01,42,File034,NJ11,sh,V,25,163,š,6931,0 3 0,s,NJ11_shV_25_File034.wav
P01,37,File018,NJ11,sh,C,0,102,š,2968,0 3,s,NJ11_shC_0_File018.wav
P01,44,File034,NJ11,z,C,60,58,z,8715,0 0 2,z,NJ11_zC_60_File034.wav
P01,31,File013,NJ1,zh,V,58,120,š,2815,0 3,s,NJ1_zhV_58_File013.wav
P01,22,File036,NJ1,z,V,8,127,s,7388,0 0 1,s,NJ1_zV_8_File036.wav
P01,84,File035,NJ8,s,V,19,212,š,3063,0 3,s,NJ8_sV_19_File035.wav
P01,74,File004,NJ5,z,V,76,167,z,1892,0 2,z,NJ5_zV_76_File004.wav
P01,82,File007,NJ8,s,C,15,131,s,2103,0 1,s,NJ8_sC_15_File007.wav
P01,72,File009,NJ5,z,C,89,174,z,1914,0 2,z,NJ5_zC_89_File009.wav
P01,60,File016,NJ5,s,C,8,127,s,3104,0 1,s,NJ5_sC_8_File016.wav
P01,19,File020,NJ1,z,C,25,119,s,7952,0 0 1,s,NJ1_zC_25_File020.wav
P01,32,File006,NJ11,s,C,0,140,s,2768,0 1,s,NJ11_sC_0_File006.wav
P01,35,File005,NJ11,s,V,7,151,s,8284,0 0 1,s,NJ11_sV_7_File005.wav
P01,11,File016,NJ1,sh,C,15,200,š,2902,0 3,s,NJ1_shC_15_File016.wav
P01,91,File008,NJ8,z,V,60,114,z,2355,0 2,z,NJ8_zV_60_File008.wav
P01,80,File024,NJ5,zh,V,95,133,ž,6777,0 0 4,z,NJ5_zhV_95_File024.wav
P01,99,File043,NJ9,sh,V,13,163,š,2341,0 3,s,NJ9_shV_13_File043.wav
P01,45,File044,NJ11,z,C,88,75,z,2641,0 2,z,NJ11_zC_88_File044.wav
P01,21,File019,NJ1,z,V,56,92,s,2284,0 1,s,NJ1_zV_56_File019.wav
P01,103,File004,NJ9,z,V,33,124,z,6901,0 2 0,z,NJ9_zV_33_File004.wav
P01,102,File030,NJ9,z,V,22,96,z,8779,0 0 2,z,NJ9_zV_22_File030.wav
P01,53,File012,NJ2,s,V,27,216,s,3522,0 1,s,NJ2_sV_27_File012.wav
P01,9,File038,NJ1,sh,C,0,181,š,2086,0 3,s,NJ1_shC_0_File038.wav
P01,97,File016,NJ9,s,V,8,241,s,7627,0 1 0,s,NJ9_sV_8_File016.wav
P01,27,File012,NJ1,zh,C,50,123,ž,4278,0 4,z,NJ1_zhC_50_File012.wav
P01,41,File033,NJ11,sh,V,6,159,š,2631,0 3,s,NJ11_shV_6_File033.wav
P01,107,File003,NJ9,zh,V,29,146,ž,8802,0 0 4,z,NJ9_zhV_29_File003.wav
P01,23,File004,NJ1,zh,C,0,126,ž,2626,0 4,z,NJ1_zhC_0_File004.wav
P01,30,File013,NJ1,zh,V,33,148,š,2774,0 3,s,NJ1_zhV_33_File013.wav
P01,13,File015,NJ1,sh,C,28,291,š,2270,0 3,s,NJ1_shC_28_File015.wav
P01,67,File031,NJ5,sh,V,9,224,š,2937,0 3,s,NJ5_shV_9_File031.wav
P01,85,File023,NJ8,s,V,28,182,s,2313,0 1,s,NJ8_sV_28_File023.wav
P01,98,File017,NJ9,sh,C,0,149,s,2518,0 1,s,NJ9_shC_0_File017.wav
P01,49,File006,NJ2,s,C,0,188,s,2156,0 1,s,NJ2_sC_0_File006.wav
P01,50,File027,NJ2,s,C,6,178,š,8407,0 0 3,s,NJ2_sC_6_File027.wav
P01,58,File008,NJ2,z,V,84,167,z,2156,0 2,z,NJ2_zV_84_File008.wav
P01,106,File008,NJ9,zh,V,100,118,ž,3101,0 4,z,NJ9_zhV_100_File008.wav
P01,16,File011,NJ1,sh,V,26,227,š,2489,0 3,s,NJ1_shV_26_File011.wav
P01,36,File035,NJ11,s,V,33,148,s,2656,0 1,s,NJ11_sV_33_File035.wav
P01,14,File033,NJ1,sh,V,8,251,š,2823,0 3,s,NJ1_shV_8_File033.wav
P01,51,File007,NJ2,s,C,7,142,s,7575,0 0 1,s,NJ2_sC_7_File007.wav
P01,43,File023,NJ11,z,C,30,99,s,6982,0 0 1,s,NJ11_zC_30_File023.wav
P01,73,File009,NJ5,z,V,57,213,z,2658,0 2,z,NJ5_zV_57_File009.wav
P01,17,File020,NJ1,sh,V,42,186,š,2311,0 3,s,NJ1_shV_42_File020.wav
P01,52,File026,NJ2,s,V,5,200,s,6317,0 0 1,s,NJ2_sV_5_File026.wav
P01,70,File010,NJ5,z,C,27,142,z,2368,0 2,z,NJ5_zC_27_File010.wav
P01,90,File022,NJ8,z,C,100,112,z,2951,0 2,z,NJ8_zC_100_File022.wav
P01,65,File004,NJ5,sh,C,7,283,š,2129,0 3,s,NJ5_shC_7_File004.wav
P01,18,File042,NJ1,z,C,100,88,z,2951,0 2,z,NJ1_zC_100_File042.wav
P01,20,File031,NJ1,z,C,27,117,ž,9440,0 0 4,z,NJ1_zC_27_File031.wav
P01,61,File015,NJ5,s,V,13,163,s,3696,0 1,s,NJ5_sV_13_File015.wav
P01,26,File022,NJ1,zh,C,23,136,š,2187,0 3,s,NJ1_zhC_23_File022.wav
P01,6,File016,NJ1,s,C,60,151,s,2132,0 1,s,NJ1_sC_60_File016.wav
P01,100,File020,NJ9,z,C,100,108,z,2038,0 2,z,NJ9_zC_100_File020.wav
P01,86,File016,NJ8,sh,C,0,147,š,2359,0 3,s,NJ8_shC_0_File016.wav
P01,75,File021,NJ5,zh,C,100,107,z,2425,0 2,z,NJ5_zhC_100_File021.wav
P01,8,File005,NJ1,s,V,47,197,s,2213,0 1,s,NJ1_sV_47_File005.wav
P01,10,File004,NJ1,sh,C,10,207,š,2166,0 3,s,NJ1_shC_10_File004.wav
P01,93,File035,NJ8,zh,V,19,161,z,2803,0 2,z,NJ8_zhV_19_File035.wav
P01,54,File010,NJ2,z,C,100,93,z,2252,0 2,z,NJ2_zC_100_File010.wav
P01,48,File036,NJ11,zh,V,29,71,š,2360,0 3,s,NJ11_zhV_29_File036.wav
P01,5,File006,NJ1,s,C,13,247,s,2383,0 1,s,NJ1_sC_13_File006.wav
