participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P28,90,File022,NJ8,z,C,100,112,ž,2791,0 4,z,NJ8_zC_100_File022.wav
P28,100,File020,NJ9,z,C,100,108,z,2906,0 2,z,NJ9_zC_100_File020.wav
P28,46,File009,NJ11,z,V,92,124,z,2165,0 2,z,NJ11_zV_92_File009.wav
P28,72,File009,NJ5,z,C,89,174,ž,3667,0 4,z,NJ5_zC_89_File009.wav
P28,85,File023,NJ8,s,V,28,182,š,2146,0 3,s,NJ8_sV_28_File023.wav
P28,11,File016,NJ1,sh,C,15,200,š,2062,0 3,s,NJ1_shC_15_File016.wav
P28,81,File017,NJ8,s,C,0,72,š,3053,0 3,s,NJ8_sC_0_File017.wav
P28,77,File004,NJ5,zh,C,31,161,ž,7250,0 0 4,z,NJ5_zhC_31_File004.wav
P28,93,File035,NJ8,zh,V,19,161,š,2063,0 3,s,NJ8_zhV_19_File035.wav
P28,91,File008,NJ8,z,V,60,114,z,2277,0 2,z,NJ8_zV_60_File008.wav
P28,28,File025,NJ1,zh,V,8,117,š,2020,0 3,s,NJ1_zhV_8_File025.wav
P28,12,File006,NJ1,sh,C,20,204,š,1936,0 3,s,NJ1_shC_20_File006.wav
P28,23,File004,NJ1,zh,C,0,126,ž,1981,0 4,z,NJ1_zhC_0_File004.wav
P28,84,File035,NJ8,s,V,19,212,s,5710,0 3 0 1,s,NJ8_sV_19_File035.wav
P28,53,File012,NJ2,s,V,27,216,s,1326,0 1,s,NJ2_sV_27_File012.wav
P28,48,File036,NJ11,zh,V,29,71,š,1599,0 3,s,NJ11_zhV_29_File036.wav
P28,19,File020,NJ1,z,C,25,119,s,1886,0 1,s,NJ1_zC_25_File020.wav
P28,61,File015,NJ5,s,V,13,163,s,2544,0 1,s,NJ5_sV_13_File015.wav
P28,105,File022,NJ9,zh,C,62,124,š,2010,0 3,s,NJ9_zhC_62_File022.wav
P28,50,File027,NJ2,s,C,6,178,š,1922,0 3,s,NJ2_sC_6_File027.wav
P28,4,File029,NJ1,s,C,0,173,s,2567,0 1,s,NJ1_sC_0_File029.wav
P28,74,File004,NJ5,z,V,76,167,z,2234,0 2,z,NJ5_zV_76_File004.wav
P28,33,File030,NJ11,s,C,9,112,s,5017,0 0 1,s,NJ11_sC_9_File030.wav
P28,15,File029,NJ1,sh,V,17,186,š,1484,0 3,s,NJ1_shV_17_File029.wav
P28,83,File038,NJ8,s,C,33,98,s,1374,0 1,s,NJ8_sC_33_File038.wav
P28,10,File004,NJ1,sh,C,10,207,š,1190,0 3,s,NJ1_shC_10_File004.wav
P28,106,File008,NJ9,zh,V,100,118,ž,1619,0 4,z,NJ9_zhV_100_File008.wav
P28,7,File022,NJ1,s,V,12,255,s,2131,0 1,s,NJ1_sV_12_File022.wav
P28,66,File017,NJ5,sh,V,5,188,š,2139,0 3,s,NJ5_shV_5_File017.wav
P28,37,File018,NJ11,sh,C,0,102,š,2483,0 3,s,NJ11_shC_0_File018.wav
P28,59,File006,NJ5,s,C,0,173,s,8631,0 0 1,s,NJ5_sC_0_File006.wav
P28,57,File025,NJ2,z,V,47,190,z,2556,0 2,z,NJ2_zV_47_File025.wav
P28,51,File007,NJ2,s,C,7,142,s,1694,0 1,s,NJ2_sC_7_File007.wav
P28,76,File025,NJ5,zh,C,27,145,ž,6123,0 0 4,z,NJ5_zhC_27_File025.wav
P28,45,File044,NJ11,z,C,88,75,z,2953,0 2,z,NJ11_zC_88_File044.wav
P28,22,File036,NJ1,z,V,8,127,s,1327,0 1,s,NJ1_zV_8_File036.wav
P28,49,File006,NJ2,s,C,0,188,s,2088,0 1,s,NJ2_sC_0_File006.wav
P28,101,File043,NJ9,z,C,36,115,z,5138,0 0 2,z,NJ9_zC_36_File043.wav
P28,21,File019,NJ1,z,V,56,92,s,1997,0 1,s,NJ1_zV_56_File019.wav
P28,96,File045,NJ9,s,V,5,212,s,1676,0 1,s,NJ9_sV_5_File045.wav
P28,54,File010,NJ2,z,C,100,93,z,1712,0 2,z,NJ2_zC_100_File010.wav
P28,55,File042,NJ2,z,C,11,179,š,1621,0 3,s,NJ2_zC_11_File042.wav
P28,98,File017,NJ9,sh,C,0,149,š,1540,0 3,s,NJ9_shC_0_File017.wav
P28,99,File043,NJ9,sh,V,13,163,š,1700,0 3,s,NJ9_shV_13_File043.wav
P28,27,File012,NJ1,zh,C,50,123,ž,1907,0 4,z,NJ1_zhC_50_File012.wav
P28,35,File005,NJ11,s,V,7,151,s,2364,0 1,s,NJ11_sV_7_File005.wav
P28,44,File034,NJ11,z,C,60,58,s,8008,0 1 0 3 1,s,NJ11_zC_60_File034.wav
P28,39,File027,NJ11,sh,C,15,131,š,1837,0 3,s,NJ11_shC_15_File027.wav
P28,38,File006,NJ11,sh,C,7,135,š,1308,0 3,s,NJ11_shC_7_File006.wav
P28,92,File022,NJ8,zh,C,100,140,ž,2152,0 4,z,NJ8_zhC_100_File022.wav
P28,94,File025,NJ8,zh,V,62,134,z,2508,0 2,z,NJ8_zhV_62_File025.wav
P28,40,File038,NJ11,sh,C,68,183,š,1609,0 3,s,NJ11_shC_68_File038.wav
P28,86,File016,NJ8,sh,C,0,147,š,1388,0 3,s,NJ8_shC_0_File016.wav
P28,26,File022,NJ1,zh,C,23,136,š,1362,0 3,s,NJ1_zhC_23_File022.wav
P28,63,File015,NJ5,sh,C,0,97,š,1352,0 3,s,NJ5_shC_0_File015.wav
P28,69,File032,NJ5,z,C,100,119,z,1348,0 2,z,NJ5_zC_100_File032.wav
P28,13,File015,NJ1,sh,C,28,291,š,1880,0 3,s,NJ1_shC_28_File015.wav
P28,78,File013,NJ5,zh,V,7,140,ž,2630,0 4,z,NJ5_zhV_7_File013.wav
P28,62,File012,NJ5,s,V,17,182,s,4607,0 0 1,s,NJ5_sV_17_File012.wav
P28,5,File006,NJ1,s,C,13,247,s,2153,0 1,s,NJ1_sC_13_File006.wav
