participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P16,100,File020,NJ9,z,C,100,108,z,1452,0 2,z,NJ9_zC_100_File020.wav
P16,32,File006,NJ11,s,C,0,140,s,1901,0 1,s,NJ11_sC_0_File006.wav
P16,26,File022,NJ1,zh,C,23,136,š,1714,0 3,s,NJ1_zhC_23_File022.wav
P16,104,File044,NJ9,zh,C,20,95,ž,7066,0 0 4,z,NJ9_zhC_20_File044.wav
P16,37,File018,NJ11,sh,C,0,102,š,1866,0 3,s,NJ11_shC_0_File018.wav
P16,73,File009,NJ5,z,V,57,213,z,1825,0 2,z,NJ5_zV_57_File009.wav
P16,31,File013,NJ1,zh,V,58,120,š,1362,0 3,s,NJ1_zhV_58_File013.wav
P16,103,File004,NJ9,z,V,33,124,ž,1593,0 4,z,NJ9_zV_33_File004.wav
P16,39,File027,NJ11,sh,C,15,131,š,1302,0 3,s,NJ11_shC_15_File027.wav
P16,67,File031,NJ5,sh,V,9,224,š,3842,0 3,s,NJ5_shV_9_File031.wav
P16,11,File016,NJ1,sh,C,15,200,š,6883,0 0 3,s,NJ1_shC_15_File016.wav
P16,38,File006,NJ11,sh,C,7,135,ž,3718,0 4,z,NJ11_shC_7_File006.wav
P16,86,File016,NJ8,sh,C,0,147,š,2536,0 3,s,NJ8_shC_0_File016.wav
P16,43,File023,NJ11,z,C,30,99,ž,3823,0 4,z,NJ11_zC_30_File023.wav
P16,12,File006,NJ1,sh,C,20,204,š,3858,0 3,s,NJ1_shC_20_File006.wav
P16,19,File020,NJ1,z,C,25,119,s,4472,0 1,s,NJ1_zC_25_File020.wav
P16,62,File012,NJ5,s,V,17,182,s,3590,0 1,s,NJ5_sV_17_File012.wav
P16,60,File016,NJ5,s,C,8,127,z,4108,0 2,z,NJ5_sC_8_File016.wav
P16,84,File035,NJ8,s,V,19,212,s,2673,0 1,s,NJ8_sV_19_File035.wav
P16,5,File006,NJ1,s,C,13,247,s,2438,0 1,s,NJ1_sC_13_File006.wav
P16,41,File033,NJ11,sh,V,6,159,š,3428,0 3,s,NJ11_shV_6_File033.wav
P16,90,File022,NJ8,z,C,100,112,ž,1933,0 4,z,NJ8_zC_100_File022.wav
P16,81,File017,NJ8,s,C,0,72,š,2547,0 3,s,NJ8_sC_0_File017.wav
P16,28,File025,NJ1,zh,V,8,117,š,1812,0 3,s,NJ1_zhV_8_File025.wav
P16,51,File007,NJ2,s,C,7,142,s,1686,0 1,s,NJ2_sC_7_File007.wav
P16,95,File035,NJ8,zh,V,92,121,ž,2210,0 4,z,NJ8_zhV_92_File035.wav
P16,56,File021,NJ2,z,C,69,160,ž,3731,0 4,z,NJ2_zC_69_File021.wav
P16,92,File022,NJ8,zh,C,100,140,z,8923,0 0 2,z,NJ8_zhC_100_File022.wav
P16,42,File034,NJ11,sh,V,25,163,š,3058,0 3,s,NJ11_shV_25_File034.wav
P16,58,File008,NJ2,z,V,84,167,z,1687,0 2,z,NJ2_zV_84_File008.wav
P16,101,File043,NJ9,z,C,36,115,ž,2690,0 4,z,NJ9_zC_36_File043.wav
P16,30,File013,NJ1,zh,V,33,148,š,2598,0 3,s,NJ1_zhV_33_File013.wav
P16,61,File015,NJ5,s,V,13,163,s,1942,0 1,s,NJ5_sV_13_File015.wav
P16,46,File009,NJ11,z,V,92,124,z,1370,0 2,z,NJ11_zV_92_File009.wav
P16,27,File012,NJ1,zh,C,50,123,ž,1952,0 4,z,NJ1_zhC_50_File012.wav
P16,14,File033,NJ1,sh,V,8,251,š,1890,0 3,s,NJ1_shV_8_File033.wav
P16,82,File007,NJ8,s,C,15,131,š,5269,0 3,s,NJ8_sC_15_File007.wav
P16,83,File038,NJ8,s,C,33,98,s,2850,0 1,s,NJ8_sC_33_File038.wav
P16,107,File003,NJ9,zh,V,29,146,ž,2179,0 4,z,NJ9_zhV_29_File003.wav
P16,91,File008,NJ8,z,V,60,114,z,1586,0 2,z,NJ8_zV_60_File008.wav
P16,4,File029,NJ1,s,C,0,173,s,1555,0 1,s,NJ1_sC_0_File029.wav
P16,66,File017,NJ5,sh,V,5,188,š,1465,0 3,s,NJ5_shV_5_File017.wav
P16,52,File026,NJ2,s,V,5,200,š,4201,0 3,s,NJ2_sV_5_File026.wav
