participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P31,73,File009,NJ5,z,V,57,213,z,1421,0 2,z,NJ5_zV_57_File009.wav
P31,6,File016,NJ1,s,C,60,151,s,1132,0 1,s,NJ1_sC_60_File016.wav
P31,21,File019,NJ1,z,V,56,92,s,1300,0 1,s,NJ1_zV_56_File019.wav
P31,83,File038,NJ8,s,C,33,98,s,1221,0 1,s,NJ8_sC_33_File038.wav
P31,39,File027,NJ11,sh,C,15,131,š,1141,0 3,s,NJ11_shC_15_File027.wav
P31,34,File007,NJ11,s,C,40,96,s,1623,0 1,s,NJ11_sC_40_File007.wav
P31,80,File024,NJ5,zh,V,95,133,ž,945,0 4,z,NJ5_zhV_95_File024.wav
P31,74,File004,NJ5,z,V,76,167,z,1134,0 2,z,NJ5_zV_76_File004.wav
P31,98,File017,NJ9,sh,C,0,149,š,1047,0 3,s,NJ9_shC_0_File017.wav
P31,43,File023,NJ11,z,C,30,99,s,977,0 1,s,NJ11_zC_30_File023.wav
P31,93,File035,NJ8,zh,V,19,161,ž,2489,0 4,z,NJ8_zhV_19_File035.wav
P31,90,File022,NJ8,z,C,100,112,z,1308,0 2,z,NJ8_zC_100_File022.wav
P31,47,File034,NJ11,zh,C,100,94,ž,982,0 4,z,NJ11_zhC_100_File034.wav
P31,22,File036,NJ1,z,V,8,127,s,917,0 1,s,NJ1_zV_8_File036.wav
P31,84,File035,NJ8,s,V,19,212,s,810,0 1,s,NJ8_sV_19_File035.wav
P31,72,File009,NJ5,z,C,89,174,z,923,0 2,z,NJ5_zC_89_File009.wav
P31,64,File035,NJ5,sh,C,5,211,š,1116,0 3,s,NJ5_shC_5_File035.wav
P31,14,File033,NJ1,sh,V,8,251,š,1181,0 3,s,NJ1_shV_8_File033.wav
P31,66,File017,NJ5,sh,V,5,188,š,1066,0 3,s,NJ5_shV_5_File017.wav
P31,81,File017,NJ8,s,C,0,72,z,1302,0 2,z,NJ8_sC_0_File017.wav
P31,78,File013,NJ5,zh,V,7,140,ž,1233,0 4,z,NJ5_zhV_7_File013.wav
P31,87,File017,NJ8,sh,C,29,77,s,1565,0 1,s,NJ8_shC_29_File017.wav
P31,99,File043,NJ9,sh,V,13,163,š,918,0 3,s,NJ9_shV_13_File043.wav
P31,95,File035,NJ8,zh,V,92,121,ž,985,0 4,z,NJ8_zhV_92_File035.wav
P31,11,File016,NJ1,sh,C,15,200,š,954,0 3,s,NJ1_shC_15_File016.wav
P31,107,File003,NJ9,zh,V,29,146,ž,1197,0 4,z,NJ9_zhV_29_File003.wav
P31,58,File008,NJ2,z,V,84,167,z,906,0 2,z,NJ2_zV_84_File008.wav
P31,60,File016,NJ5,s,C,8,127,s,760,0 1,s,NJ5_sC_8_File016.wav
P31,25,File033,NJ1,zh,C,14,141,š,887,0 3,s,NJ1_zhC_14_File033.wav
P31,85,File023,NJ8,s,V,28,182,s,684,0 1,s,NJ8_sV_28_File023.wav
P31,76,File025,NJ5,zh,C,27,145,ž,1708,0 4,z,NJ5_zhC_27_File025.wav
P31,10,File004,NJ1,sh,C,10,207,š,966,0 3,s,NJ1_shC_10_File004.wav
P31,31,File013,NJ1,zh,V,58,120,š,1111,0 3,s,NJ1_zhV_58_File013.wav
P31,28,File025,NJ1,zh,V,8,117,š,938,0 3,s,NJ1_zhV_8_File025.wav
P31,61,File015,NJ5,s,V,13,163,s,1381,0 1,s,NJ5_sV_13_File015.wav
P31,18,File042,NJ1,z,C,100,88,z,935,0 2,z,NJ1_zC_100_File042.wav
P31,45,File044,NJ11,z,C,88,75,z,1046,0 2,z,NJ11_zC_88_File044.wav
P31,26,File022,NJ1,zh,C,23,136,š,1280,0 3,s,NJ1_zhC_23_File022.wav
P31,7,File022,NJ1,s,V,12,255,s,903,0 1,s,NJ1_sV_12_File022.wav
P31,106,File008,NJ9,zh,V,100,118,ž,1033,0 4,z,NJ9_zhV_100_File008.wav
P31,97,File016,NJ9,s,V,8,241,z,1203,0 2,z,NJ9_sV_8_File016.wav
P31,20,File031,NJ1,z,C,27,117,s,1075,0 1,s,NJ1_zC_27_File031.wav
P31,86,File016,NJ8,sh,C,0,147,š,854,0 3,s,NJ8_shC_0_File016.wav
P31,67,File031,NJ5,sh,V,9,224,š,1988,0 3,s,NJ5_shV_9_File031.wav
P31,8,File005,NJ1,s,V,47,197,s,1269,0 1,s,NJ1_sV_47_File005.wav
P31,75,File021,NJ5,zh,C,100,107,ž,863,0 4,z,NJ5_zhC_100_File021.wav
P31,16,File011,NJ1,sh,V,26,227,š,970,0 3,s,NJ1_shV_26_File011.wav
P31,105,File022,NJ9,zh,C,62,124,š,972,0 3,s,NJ9_zhC_62_File022.wav
P31,38,File006,NJ11,sh,C,7,135,š,1352,0 3,s,NJ11_shC_7_File006.wav
P31,59,File006,NJ5,s,C,0,173,s,959,0 1,s,NJ5_sC_0_File006.wav
P31,100,File020,NJ9,z,C,100,108,z,1211,0 2,z,NJ9_zC_100_File020.wav
