participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P15,89,File043,NJ8,sh,V,33,205,š,2876,0 3,s,NJ8_shV_33_File043.wav
P15,101,File043,NJ9,z,C,36,115,z,2342,0 2,z,NJ9_zC_36_File043.wav
P15,8,File005,NJ1,s,V,47,197,s,2315,0 1,s,NJ1_sV_47_File005.wav
P15,32,File006,NJ11,s,C,0,140,s,2373,0 1,s,NJ11_sC_0_File006.wav
P15,86,File016,NJ8,sh,C,0,147,š,2093,0 3,s,NJ8_shC_0_File016.wav
P15,52,File026,NJ2,s,V,5,200,š,2396,0 3,s,NJ2_sV_5_File026.wav
P15,46,File009,NJ11,z,V,92,124,z,1863,0 2,z,NJ11_zV_92_File009.wav
P15,63,File015,NJ5,sh,C,0,97,š,2573,0 3,s,NJ5_shC_0_File015.wav
P15,15,File029,NJ1,sh,V,17,186,š,1937,0 3,s,NJ1_shV_17_File029.wav
P15,77,File004,NJ5,zh,C,31,161,ž,2269,0 4,z,NJ5_zhC_31_File004.wav
P15,29,File025,NJ1,zh,V,17,117,š,2129,0 3,s,NJ1_zhV_17_File025.wav
P15,62,File012,NJ5,s,V,17,182,s,2290,0 1,s,NJ5_sV_17_File012.wav
P15,76,File025,NJ5,zh,C,27,145,ž,2338,0 4,z,NJ5_zhC_27_File025.wav
P15,90,File022,NJ8,z,C,100,112,z,1983,0 2,z,NJ8_zC_100_File022.wav
P15,6,File016,NJ1,s,C,60,151,s,1944,0 1,s,NJ1_sC_60_File016.wav
P15,24,File044,NJ1,zh,C,8,129,š,1902,0 3,s,NJ1_zhC_8_File044.wav
P15,64,File035,NJ5,sh,C,5,211,š,1727,0 3,s,NJ5_shC_5_File035.wav
P15,58,File008,NJ2,z,V,84,167,z,1789,0 2,z,NJ2_zV_84_File008.wav
P15,70,File010,NJ5,z,C,27,142,z,1918,0 2,z,NJ5_zC_27_File010.wav
P15,56,File021,NJ2,z,C,69,160,z,1869,0 2,z,NJ2_zC_69_File021.wav
P15,51,File007,NJ2,s,C,7,142,s,2053,0 1,s,NJ2_sC_7_File007.wav
P15,4,File029,NJ1,s,C,0,173,s,1942,0 1,s,NJ1_sC_0_File029.wav
P15,12,File006,NJ1,sh,C,20,204,š,1957,0 3,s,NJ1_shC_20_File006.wav
P15,105,File022,NJ9,zh,C,62,124,š,1770,0 3,s,NJ9_zhC_62_File022.wav
P15,69,File032,NJ5,z,C,100,119,z,1759,0 2,z,NJ5_zC_100_File032.wav
P15,42,File034,NJ11,sh,V,25,163,š,1838,0 3,s,NJ11_shV_25_File034.wav
P15,26,File022,NJ1,zh,C,23,136,š,1854,0 3,s,NJ1_zhC_23_File022.wav
P15,19,File020,NJ1,z,C,25,119,s,2472,0 1,s,NJ1_zC_25_File020.wav
P15,18,File042,NJ1,z,C,100,88,z,2335,0 2,z,NJ1_zC_100_File042.wav
P15,65,File004,NJ5,sh,C,7,283,š,2700,0 3,s,NJ5_shC_7_File004.wav
P15,92,File022,NJ8,zh,C,100,140,ž,2132,0 4,z,NJ8_zhC_100_File022.wav
P15,94,File025,NJ8,zh,V,62,134,z,2458,0 2,z,NJ8_zhV_62_File025.wav
P15,14,File033,NJ1,sh,V,8,251,š,1893,0 3,s,NJ1_shV_8_File033.wav
P15,36,File035,NJ11,s,V,33,148,s,2832,0 1,s,NJ11_sV_33_File035.wav
P15,78,File013,NJ5,zh,V,7,140,š,2663,0 3,s,NJ5_zhV_7_File013.wav
P15,7,File022,NJ1,s,V,12,255,s,2301,0 1,s,NJ1_sV_12_File022.wav
P15,13,File015,NJ1,sh,C,28,291,š,1732,0 3,s,NJ1_shC_28_File015.wav
P15,27,File012,NJ1,zh,C,50,123,ž,2318,0 4,z,NJ1_zhC_50_File012.wav
P15,9,File038,NJ1,sh,C,0,181,š,1781,0 3,s,NJ1_shC_0_File038.wav
P15,55,File042,NJ2,z,C,11,179,š,1772,0 3,s,NJ2_zC_11_File042.wav
P15,20,File031,NJ1,z,C,27,117,s,2249,0 1,s,NJ1_zC_27_File031.wav
P15,33,File030,NJ11,s,C,9,112,s,2171,0 1,s,NJ11_sC_9_File030.wav
P15,34,File007,NJ11,s,C,40,96,s,2009,0 1,s,NJ11_sC_40_File007.wav
P15,10,File004,NJ1,sh,C,10,207,š,2208,0 3,s,NJ1_shC_10_File004.wav
P15,87,File017,NJ8,sh,C,29,77,z,2870,0 2,z,NJ8_shC_29_File017.wav
P15,72,File009,NJ5,z,C,89,174,z,1903,0 2,z,NJ5_zC_89_File009.wav
P15,107,File003,NJ9,zh,V,29,146,š,1866,0 3,s,NJ9_zhV_29_File003.wav
P15,16,File011,NJ1,sh,V,26,227,š,1731,0 3,s,NJ1_shV_26_File011.wav
P15,54,File010,NJ2,z,C,100,93,z,2090,0 2,z,NJ2_zC_100_File010.wav
P15,75,File021,NJ5,zh,C,100,107,ž,2010,0 4,z,NJ5_zhC_100_File021.wav
P15,85,File023,NJ8,s,V,28,182,s,2541,0 1,s,NJ8_sV_28_File023.wav
P15,39,File027,NJ11,sh,C,15,131,š,1725,0 3,s,NJ11_shC_15_File027.wav
P15,93,File035,NJ8,zh,V,19,161,š,2144,0 3,s,NJ8_zhV_19_File035.wav
P15,59,File006,NJ5,s,C,0,173,s,3949,0 1,s,NJ5_sC_0_File006.wav
P15,104,File044,NJ9,zh,C,20,95,š,1788,0 3,s,NJ9_zhC_20_File044.wav
P15,31,File013,NJ1,zh,V,58,120,š,1687,0 3,s,NJ1_zhV_58_File013.wav
P15,100,File020,NJ9,z,C,100,108,z,1898,0 2,z,NJ9_zC_100_File020.wav
P15,22,File036,NJ1,z,V,8,127,s,2263,0 1,s,NJ1_zV_8_File036.wav
P15,49,File006,NJ2,s,C,0,188,s,1865,0 1,s,NJ2_sC_0_File006.wav
P15,53,File012,NJ2,s,V,27,216,s,1869,0 1,s,NJ2_sV_27_File012.wav
P15,23,File004,NJ1,zh,C,0,126,ž,2399,0 4,z,NJ1_zhC_0_File004.wav
P15,91,File008,NJ8,z,V,60,114,z,1776,0 2,z,NJ8_zV_60_File008.wav
P15,66,File017,NJ5,sh,V,5,188,š,1847,0 3,s,NJ5_shV_5_File017.wav
P15,43,File023,NJ11,z,C,30,99,s,1995,0 1,s,NJ11_zC_30_File023.wav
P15,11,File016,NJ1,sh,C,15,200,š,1759,0 3,s,NJ1_shC_15_File016.wav
P15,44,File034,NJ11,z,C,60,58,s,3244,0 1,s,NJ11_zC_60_File034.wav
P15,38,File006,NJ11,sh,C,7,135,š,1817,0 3,s,NJ11_shC_7_File006.wav
P15,96,File045,NJ9,s,V,5,212,s,1922,0 1,s,NJ9_sV_5_File045.wav
P15,97,File016,NJ9,s,V,8,241,s,1806,0 1,s,NJ9_sV_8_File016.wav
P15,41,File033,NJ11,sh,V,6,159,š,2649,0 3,s,NJ11_shV_6_File033.wav
P15,30,File013,NJ1,zh,V,33,148,š,1748,0 3,s,NJ1_zhV_33_File013.wav
P15,57,File025,NJ2,z,V,47,190,ž,1683,0 4,z,NJ2_zV_47_File025.wav
P15,35,File005,NJ11,s,V,7,151,s,2764,0 1,s,NJ11_sV_7_File005.wav
P15,67,File031,NJ5,sh,V,9,224,š,1839,0 3,s,NJ5_shV_9_File031.wav
P15,47,File034,NJ11,zh,C,100,94,ž,2014,0 4,z,NJ11_zhC_100_File034.wav
P15,48,File036,NJ11,zh,V,29,71,š,1944,0 3,s,NJ11_zhV_29_File036.wav
P15,17,File020,NJ1,sh,V,42,186,š,1712,0 3,s,NJ1_shV_42_File020.wav
P15,84,File035,NJ8,s,V,19,212,s,1939,0 1,s,NJ8_sV_19_File035.wav
P15,73,File009,NJ5,z,V,57,213,z,1708,0 2,z,NJ5_zV_57_File009.wav
P15,83,File038,NJ8,s,C,33,98,s,2438,0 1,s,NJ8_sC_33_File038.wav
P15,80,File024,NJ5,zh,V,95,133,ž,1841,0 4,z,NJ5_zhV_95_File024.wav
P15,98,File017,NJ9,sh,C,0,149,š,2119,0 3,s,NJ9_shC_0_File017.wav
P15,106,File008,NJ9,zh,V,100,118,ž,1830,0 4,z,NJ9_zhV_100_File008.wav
P15,103,File004,NJ9,z,V,33,124,ž,1923,0 4,z,NJ9_zV_33_File004.wav
P15,37,File018,NJ11,sh,C,0,102,š,1771,0 3,s,NJ11_shC_0_File018.wav
P15,61,File015,NJ5,s,V,13,163,s,2050,0 1,s,NJ5_sV_13_File015.wav
P15,45,File044,NJ11,z,C,88,75,z,1700,0 2,z,NJ11_zC_88_File044.wav
P15,50,File027,NJ2,s,C,6,178,s,1850,0 1,s,NJ2_sC_6_File027.wav
P15,25,File033,NJ1,zh,C,14,141,š,1623,0 3,s,NJ1_zhC_14_File033.wav
P15,5,File006,NJ1,s,C,13,247,s,1902,0 1,s,NJ1_sC_13_File006.wav
P15,60,File016,NJ5,s,C,8,127,s,1748,0 1,s,NJ5_sC_8_File016.wav
P15,79,File034,NJ5,zh,V,55,112,ž,2198,0 4,z,NJ5_zhV_55_File034.wav
P15,40,File038,NJ11,sh,C,68,183,š,1690,0 3,s,NJ11_shC_68_File038.wav
P15,88,File033,NJ8,sh,V,11,172,š,1578,0 3,s,NJ8_shV_11_File033.wav
P15,95,File035,NJ8,zh,V,92,121,ž,2009,0 4,z,NJ8_zhV_92_File035.wav
P15,99,File043,NJ9,sh,V,13,163,š,1610,0 3,s,NJ9_shV_13_File043.wav
P15,81,File017,NJ8,s,C,0,72,ž,2210,0 4,z,NJ8_sC_0_File017.wav
P15,102,File030,NJ9,z,V,22,96,ž,2231,0 4,z,NJ9_zV_22_File030.wav
P15,71,File011,NJ5,z,C,58,118,z,1767,0 2,z,NJ5_zC_58_File011.wav
P15,68,File020,NJ5,sh,V,18,171,š,1555,0 3,s,NJ5_shV_18_File020.wav
P15,28,File025,NJ1,zh,V,8,117,š,1730,0 3,s,NJ1_zhV_8_File025.wav
P15,82,File007,NJ8,s,C,15,131,s,2187,0 1,s,NJ8_sC_15_File007.wav
P15,74,File004,NJ5,z,V,76,167,z,1674,0 2,z,NJ5_zV_76_File004.wav
P15,21,File019,NJ1,z,V,56,92,s,2397,0 1,s,NJ1_zV_56_File019.wav
