participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P24,107,File003,NJ9,zh,V,29,146,š,1790,0 3,s,NJ9_zhV_29_File003.wav
P24,32,File006,NJ11,s,C,0,140,s,2510,0 1,s,NJ11_sC_0_File006.wav
P24,57,File025,NJ2,z,V,47,190,ž,2325,0 4,z,NJ2_zV_47_File025.wav
P24,12,File006,NJ1,sh,C,20,204,š,1812,0 3,s,NJ1_shC_20_File006.wav
P24,71,File011,NJ5,z,C,58,118,ž,1834,0 4,z,NJ5_zC_58_File011.wav
P24,27,File012,NJ1,zh,C,50,123,ž,1252,0 4,z,NJ1_zhC_50_File012.wav
P24,86,File016,NJ8,sh,C,0,147,š,1120,0 3,s,NJ8_shC_0_File016.wav
P24,81,File017,NJ8,s,C,0,72,z,2349,0 2,z,NJ8_sC_0_File017.wav
P24,42,File034,NJ11,sh,V,25,163,š,1016,0 3,s,NJ11_shV_25_File034.wav
P24,54,File010,NJ2,z,C,100,93,z,1187,0 2,z,NJ2_zC_100_File010.wav
P24,55,File042,NJ2,z,C,11,179,š,1069,0 3,s,NJ2_zC_11_File042.wav
P24,24,File044,NJ1,zh,C,8,129,š,923,0 3,s,NJ1_zhC_8_File044.wav
P24,59,File006,NJ5,s,C,0,173,s,1981,0 1,s,NJ5_sC_0_File006.wav
P24,87,File017,NJ8,sh,C,29,77,s,1118,0 1,s,NJ8_shC_29_File017.wav
P24,9,File038,NJ1,sh,C,0,181,š,905,0 3,s,NJ1_shC_0_File038.wav
P24,39,File027,NJ11,sh,C,15,131,š,2211,0 3,s,NJ11_shC_15_File027.wav
P24,84,File035,NJ8,s,V,19,212,š,1487,0 3,s,NJ8_sV_19_File035.wav
P24,43,File023,NJ11,z,C,30,99,š,1382,0 3,s,NJ11_zC_30_File023.wav
P24,103,File004,NJ9,z,V,33,124,ž,1226,0 4,z,NJ9_zV_33_File004.wav
P24,62,File012,NJ5,s,V,17,182,s,2282,0 1,s,NJ5_sV_17_File012.wav
P24,26,File022,NJ1,zh,C,23,136,š,1618,0 3,s,NJ1_zhC_23_File022.wav
P24,104,File044,NJ9,zh,C,20,95,š,1528,0 3,s,NJ9_zhC_20_File044.wav
P24,91,File008,NJ8,z,V,60,114,z,983,0 2,z,NJ8_zV_60_File008.wav
P24,100,File020,NJ9,z,C,100,108,z,1421,0 2,z,NJ9_zC_100_File020.wav
P24,29,File025,NJ1,zh,V,17,117,š,1957,0 3,s,NJ1_zhV_17_File025.wav
P24,35,File005,NJ11,s,V,7,151,s,1354,0 1,s,NJ11_sV_7_File005.wav
P24,47,File034,NJ11,zh,C,100,94,ž,2380,0 4,z,NJ11_zhC_100_File034.wav
P24,18,File042,NJ1,z,C,100,88,z,1918,0 2,z,NJ1_zC_100_File042.wav
P24,89,File043,NJ8,sh,V,33,205,š,1510,0 3,s,NJ8_shV_33_File043.wav
P24,69,File032,NJ5,z,C,100,119,z,1127,0 2,z,NJ5_zC_100_File032.wav
P24,73,File009,NJ5,z,V,57,213,z,2051,0 2,z,NJ5_zV_57_File009.wav
P24,10,File004,NJ1,sh,C,10,207,š,1795,0 3,s,NJ1_shC_10_File004.wav
P24,5,File006,NJ1,s,C,13,247,s,1334,0 1,s,NJ1_sC_13_File006.wav
P24,20,File031,NJ1,z,C,27,117,s,3288,0 3 1,s,NJ1_zC_27_File031.wav
P24,38,File006,NJ11,sh,C,7,135,š,1882,0 3,s,NJ11_shC_7_File006.wav
P24,31,File013,NJ1,zh,V,58,120,š,1859,0 3,s,NJ1_zhV_58_File013.wav
P24,49,File006,NJ2,s,C,0,188,s,1394,0 1,s,NJ2_sC_0_File006.wav
P24,22,File036,NJ1,z,V,8,127,s,1429,0 1,s,NJ1_zV_8_File036.wav
P24,8,File005,NJ1,s,V,47,197,s,921,0 1,s,NJ1_sV_47_File005.wav
P24,85,File023,NJ8,s,V,28,182,š,1081,0 3,s,NJ8_sV_28_File023.wav
P24,80,File024,NJ5,zh,V,95,133,ž,1415,0 4,z,NJ5_zhV_95_File024.wav
P24,83,File038,NJ8,s,C,33,98,z,1626,0 2,z,NJ8_sC_33_File038.wav
P24,97,File016,NJ9,s,V,8,241,s,1238,0 1,s,NJ9_sV_8_File016.wav
P24,67,File031,NJ5,sh,V,9,224,š,1383,0 3,s,NJ5_shV_9_File031.wav
P24,19,File020,NJ1,z,C,25,119,s,1377,0 1,s,NJ1_zC_25_File020.wav
P24,74,File004,NJ5,z,V,76,167,z,958,0 2,z,NJ5_zV_76_File004.wav
P24,64,File035,NJ5,sh,C,5,211,š,1341,0 3,s,NJ5_shC_5_File035.wav
P24,93,File035,NJ8,zh,V,19,161,ž,1378,0 4,z,NJ8_zhV_19_File035.wav
P24,48,File036,NJ11,zh,V,29,71,š,1546,0 3,s,NJ11_zhV_29_File036.wav
P24,36,File035,NJ11,s,V,33,148,s,1502,0 1,s,NJ11_sV_33_File035.wav
P24,61,File015,NJ5,s,V,13,163,s,1687,0 1,s,NJ5_sV_13_File015.wav
P24,14,File033,NJ1,sh,V,8,251,š,800,0 3,s,NJ1_shV_8_File033.wav
P24,13,File015,NJ1,sh,C,28,291,š,640,0 3,s,NJ1_shC_28_File015.wav
P24,40,File038,NJ11,sh,C,68,183,š,1128,0 3,s,NJ11_shC_68_File038.wav
P24,34,File007,NJ11,s,C,40,96,s,1496,0 1,s,NJ11_sC_40_File007.wav
P24,94,File025,NJ8,zh,V,62,134,z,1376,0 2,z,NJ8_zhV_62_File025.wav
P24,78,File013,NJ5,zh,V,7,140,ž,1187,0 4,z,NJ5_zhV_7_File013.wav
P24,4,File029,NJ1,s,C,0,173,s,1756,0 1,s,NJ1_sC_0_File029.wav
P24,98,File017,NJ9,sh,C,0,149,š,1042,0 3,s,NJ9_shC_0_File017.wav
P24,92,File022,NJ8,zh,C,100,140,ž,2640,0 2 2 4,z,NJ8_zhC_100_File022.wav
P24,50,File027,NJ2,s,C,6,178,z,3910,0 2,z,NJ2_sC_6_File027.wav
P24,106,File008,NJ9,zh,V,100,118,ž,1095,0 4,z,NJ9_zhV_100_File008.wav
P24,7,File022,NJ1,s,V,12,255,s,1618,0 1,s,NJ1_sV_12_File022.wav
P24,90,File022,NJ8,z,C,100,112,ž,1053,0 4,z,NJ8_zC_100_File022.wav
P24,44,File034,NJ11,z,C,60,58,z,2891,0 2,z,NJ11_zC_60_File034.wav
P24,41,File033,NJ11,sh,V,6,159,š,1522,0 3,s,NJ11_shV_6_File033.wav
P24,11,File016,NJ1,sh,C,15,200,š,879,0 3,s,NJ1_shC_15_File016.wav
P24,17,File020,NJ1,sh,V,42,186,š,1104,0 3,s,NJ1_shV_42_File020.wav
P24,63,File015,NJ5,sh,C,0,97,š,2286,0 3,s,NJ5_shC_0_File015.wav
P24,58,File008,NJ2,z,V,84,167,z,1823,0 2,z,NJ2_zV_84_File008.wav
P24,65,File004,NJ5,sh,C,7,283,š,2005,0 3,s,NJ5_shC_7_File004.wav
P24,75,File021,NJ5,zh,C,100,107,ž,1052,0 4,z,NJ5_zhC_100_File021.wav
P24,21,File019,NJ1,z,V,56,92,z,1843,0 2,z,NJ1_zV_56_File019.wav
P24,16,File011,NJ1,sh,V,26,227,š,784,0 3,s,NJ1_shV_26_File011.wav
P24,46,File009,NJ11,z,V,92,124,z,1762,0 2,z,NJ11_zV_92_File009.wav
P24,82,File007,NJ8,s,C,15,131,š,1110,0 3,s,NJ8_sC_15_File007.wav
P24,101,File043,NJ9,z,C,36,115,ž,1517,0 4,z,NJ9_zC_36_File043.wav
P24,102,File030,NJ9,z,V,22,96,ž,1344,0 4,z,NJ9_zV_22_File030.wav
P24,68,File020,NJ5,sh,V,18,171,ž,1641,0 4,z,NJ5_shV_18_File020.wav
P24,37,File018,NJ11,sh,C,0,102,š,1314,0 3,s,NJ11_shC_0_File018.wav
P24,52,File026,NJ2,s,V,5,200,š,1333,0 3,s,NJ2_sV_5_File026.wav
P24,66,File017,NJ5,sh,V,5,188,š,764,0 3,s,NJ5_shV_5_File017.wav
P24,79,File034,NJ5,zh,V,55,112,ž,1133,0 4,z,NJ5_zhV_55_File034.wav
P24,60,File016,NJ5,s,C,8,127,š,1152,0 3,s,NJ5_sC_8_File016.wav
P24,99,File043,NJ9,sh,V,13,163,š,1504,0 3,s,NJ9_shV_13_File043.wav
P24,15,File029,NJ1,sh,V,17,186,š,1311,0 3,s,NJ1_shV_17_File029.wav
P24,70,File010,NJ5,z,C,27,142,ž,1215,0 4,z,NJ5_zC_27_File010.wav
P24,53,File012,NJ2,s,V,27,216,s,1527,0 1,s,NJ2_sV_27_File012.wav
P24,51,File007,NJ2,s,C,7,142,š,1389,0 3,s,NJ2_sC_7_File007.wav
P24,76,File025,NJ5,zh,C,27,145,ž,1077,0 4,z,NJ5_zhC_27_File025.wav
P24,25,File033,NJ1,zh,C,14,141,š,871,0 3,s,NJ1_zhC_14_File033.wav
P24,23,File004,NJ1,zh,C,0,126,ž,991,0 4,z,NJ1_zhC_0_File004.wav
P24,56,File021,NJ2,z,C,69,160,ž,1106,0 4,z,NJ2_zC_69_File021.wav
P24,45,File044,NJ11,z,C,88,75,z,1331,0 2,z,NJ11_zC_88_File044.wav
P24,33,File030,NJ11,s,C,9,112,s,1749,0 1,s,NJ11_sC_9_File030.wav
P24,77,File004,NJ5,zh,C,31,161,ž,1114,0 4,z,NJ5_zhC_31_File004.wav
P24,72,File009,NJ5,z,C,89,174,z,818,0 2,z,NJ5_zC_89_File009.wav
P24,30,File013,NJ1,zh,V,33,148,š,820,0 3,s,NJ1_zhV_33_File013.wav
P24,88,File033,NJ8,sh,V,11,172,š,960,0 3,s,NJ8_shV_11_File033.wav
P24,28,File025,NJ1,zh,V,8,117,š,742,0 3,s,NJ1_zhV_8_File025.wav
P24,95,File035,NJ8,zh,V,92,121,ž,2162,0 4,z,NJ8_zhV_92_File035.wav
P24,6,File016,NJ1,s,C,60,151,s,1152,0 1,s,NJ1_sC_60_File016.wav
P24,105,File022,NJ9,zh,C,62,124,š,1311,0 3,s,NJ9_zhC_62_File022.wav
P24,96,File045,NJ9,s,V,5,212,s,1379,0 1,s,NJ9_sV_5_File045.wav
