participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P29,34,File007,NJ11,s,C,40,96,s,4531,0 0 1,s,NJ11_sC_40_File007.wav
P29,74,File004,NJ5,z,V,76,167,z,1011,0 2,z,NJ5_zV_76_File004.wav
P29,92,File022,NJ8,zh,C,100,140,ž,6737,0 0 4,z,NJ8_zhC_100_File022.wav
P29,103,File004,NJ9,z,V,33,124,z,1761,0 2,z,NJ9_zV_33_File004.wav
P29,16,File011,NJ1,sh,V,26,227,š,1642,0 3,s,NJ1_shV_26_File011.wav
P29,56,File021,NJ2,z,C,69,160,z,1077,0 2,z,NJ2_zC_69_File021.wav
P29,52,File026,NJ2,s,V,5,200,š,2122,0 3,s,NJ2_sV_5_File026.wav
P29,15,File029,NJ1,sh,V,17,186,š,1938,0 3,s,NJ1_shV_17_File029.wav
P29,57,File025,NJ2,z,V,47,190,z,1113,0 2,z,NJ2_zV_47_File025.wav
P29,54,File010,NJ2,z,C,100,93,z,1022,0 2,z,NJ2_zC_100_File010.wav
P29,76,File025,NJ5,zh,C,27,145,ž,1122,0 4,z,NJ5_zhC_27_File025.wav
P29,36,File035,NJ11,s,V,33,148,s,1043,0 1,s,NJ11_sV_33_File035.wav
P29,97,File016,NJ9,s,V,8,241,s,994,0 1,s,NJ9_sV_8_File016.wav
P29,29,File025,NJ1,zh,V,17,117,š,1008,0 3,s,NJ1_zhV_17_File025.wav
P29,45,File044,NJ11,z,C,88,75,z,1127,0 2,z,NJ11_zC_88_File044.wav
P29,58,File008,NJ2,z,V,84,167,z,961,0 2,z,NJ2_zV_84_File008.wav
P29,72,File009,NJ5,z,C,89,174,z,1047,0 2,z,NJ5_zC_89_File009.wav
P29,48,File036,NJ11,zh,V,29,71,š,1379,0 3,s,NJ11_zhV_29_File036.wav
P29,19,File020,NJ1,z,C,25,119,s,1013,0 1,s,NJ1_zC_25_File020.wav
P29,41,File033,NJ11,sh,V,6,159,š,1005,0 3,s,NJ11_shV_6_File033.wav
P29,73,File009,NJ5,z,V,57,213,z,910,0 2,z,NJ5_zV_57_File009.wav
P29,64,File035,NJ5,sh,C,5,211,š,1205,0 3,s,NJ5_shC_5_File035.wav
P29,18,File042,NJ1,z,C,100,88,z,1066,0 2,z,NJ1_zC_100_File042.wav
P29,51,File007,NJ2,s,C,7,142,s,1010,0 1,s,NJ2_sC_7_File007.wav
P29,61,File015,NJ5,s,V,13,163,s,1013,0 1,s,NJ5_sV_13_File015.wav
P29,78,File013,NJ5,zh,V,7,140,ž,1293,0 4,z,NJ5_zhV_7_File013.wav
P29,31,File013,NJ1,zh,V,58,120,š,1239,0 3,s,NJ1_zhV_58_File013.wav
P29,33,File030,NJ11,s,C,9,112,s,1054,0 1,s,NJ11_sC_9_File030.wav
P29,104,File044,NJ9,zh,C,20,95,š,3311,0 1 3,s,NJ9_zhC_20_File044.wav
P29,21,File019,NJ1,z,V,56,92,s,1730,0 1,s,NJ1_zV_56_File019.wav
P29,79,File034,NJ5,zh,V,55,112,ž,1348,0 4,z,NJ5_zhV_55_File034.wav
P29,83,File038,NJ8,s,C,33,98,š,1839,0 3,s,NJ8_sC_33_File038.wav
P29,91,File008,NJ8,z,V,60,114,z,1015,0 2,z,NJ8_zV_60_File008.wav
P29,40,File038,NJ11,sh,C,68,183,š,968,0 3,s,NJ11_shC_68_File038.wav
P29,17,File020,NJ1,sh,V,42,186,š,1036,0 3,s,NJ1_shV_42_File020.wav
P29,6,File016,NJ1,s,C,60,151,s,1051,0 1,s,NJ1_sC_60_File016.wav
P29,68,File020,NJ5,sh,V,18,171,š,1490,0 3,s,NJ5_shV_18_File020.wav
P29,47,File034,NJ11,zh,C,100,94,ž,901,0 4,z,NJ11_zhC_100_File034.wav
P29,70,File010,NJ5,z,C,27,142,z,1018,0 2,z,NJ5_zC_27_File010.wav
P29,9,File038,NJ1,sh,C,0,181,š,1055,0 3,s,NJ1_shC_0_File038.wav
P29,43,File023,NJ11,z,C,30,99,s,891,0 1,s,NJ11_zC_30_File023.wav
P29,5,File006,NJ1,s,C,13,247,s,745,0 1,s,NJ1_sC_13_File006.wav
P29,89,File043,NJ8,sh,V,33,205,š,959,0 3,s,NJ8_shV_33_File043.wav
P29,85,File023,NJ8,s,V,28,182,š,1172,0 3,s,NJ8_sV_28_File023.wav
P29,30,File013,NJ1,zh,V,33,148,š,1286,0 3,s,NJ1_zhV_33_File013.wav
P29,86,File016,NJ8,sh,C,0,147,š,1038,0 3,s,NJ8_shC_0_File016.wav
P29,106,File008,NJ9,zh,V,100,118,z,1139,0 2,z,NJ9_zhV_100_File008.wav
P29,87,File017,NJ8,sh,C,29,77,š,1182,0 3,s,NJ8_shC_29_File017.wav
P29,67,File031,NJ5,sh,V,9,224,š,975,0 3,s,NJ5_shV_9_File031.wav
P29,62,File012,NJ5,s,V,17,182,s,914,0 1,s,NJ5_sV_17_File012.wav
P29,4,File029,NJ1,s,C,0,173,s,963,0 1,s,NJ1_sC_0_File029.wav
P29,22,File036,NJ1,z,V,8,127,s,960,0 1,s,NJ1_zV_8_File036.wav
P29,42,File034,NJ11,sh,V,25,163,š,1040,0 3,s,NJ11_shV_25_File034.wav
P29,84,File035,NJ8,s,V,19,212,ž,842,0 4,z,NJ8_sV_19_File035.wav
P29,20,File031,NJ1,z,C,27,117,z,1402,0 2,z,NJ1_zC_27_File031.wav
P29,35,File005,NJ11,s,V,7,151,s,1018,0 1,s,NJ11_sV_7_File005.wav
P29,75,File021,NJ5,zh,C,100,107,ž,887,0 4,z,NJ5_zhC_100_File021.wav
P29,25,File033,NJ1,zh,C,14,141,š,1028,0 3,s,NJ1_zhC_14_File033.wav
P29,26,File022,NJ1,zh,C,23,136,š,923,0 3,s,NJ1_zhC_23_File022.wav
P29,49,File006,NJ2,s,C,0,188,s,845,0 1,s,NJ2_sC_0_File006.wav
P29,28,File025,NJ1,zh,V,8,117,š,1241,0 3,s,NJ1_zhV_8_File025.wav
P29,14,File033,NJ1,sh,V,8,251,š,844,0 3,s,NJ1_shV_8_File033.wav
P29,46,File009,NJ11,z,V,92,124,z,961,0 2,z,NJ11_zV_92_File009.wav
P29,93,File035,NJ8,zh,V,19,161,ž,894,0 4,z,NJ8_zhV_19_File035.wav
P29,96,File045,NJ9,s,V,5,212,s,704,0 1,s,NJ9_sV_5_File045.wav
P29,50,File027,NJ2,s,C,6,178,š,855,0 3,s,NJ2_sC_6_File027.wav
P29,71,File011,NJ5,z,C,58,118,z,1455,0 2,z,NJ5_zC_58_File011.wav
P29,94,File025,NJ8,zh,V,62,134,z,963,0 2,z,NJ8_zhV_62_File025.wav
P29,82,File007,NJ8,s,C,15,131,s,1044,0 1,s,NJ8_sC_15_File007.wav
P29,101,File043,NJ9,z,C,36,115,z,1636,0 2,z,NJ9_zC_36_File043.wav
P29,100,File020,NJ9,z,C,100,108,z,1207,0 2,z,NJ9_zC_100_File020.wav
P29,13,File015,NJ1,sh,C,28,291,š,1013,0 3,s,NJ1_shC_28_File015.wav
P29,44,File034,NJ11,z,C,60,58,s,952,0 1,s,NJ11_zC_60_File034.wav
P29,77,File004,NJ5,zh,C,31,161,ž,867,0 4,z,NJ5_zhC_31_File004.wav
P29,7,File022,NJ1,s,V,12,255,s,688,0 1,s,NJ1_sV_12_File022.wav
P29,60,File016,NJ5,s,C,8,127,s,838,0 1,s,NJ5_sC_8_File016.wav
P29,105,File022,NJ9,zh,C,62,124,š,1132,0 3,s,NJ9_zhC_62_File022.wav
P29,102,File030,NJ9,z,V,22,96,z,2123,0 2,z,NJ9_zV_22_File030.wav
P29,38,File006,NJ11,sh,C,7,135,š,989,0 3,s,NJ11_shC_7_File006.wav
P29,63,File015,NJ5,sh,C,0,97,š,1131,0 3,s,NJ5_shC_0_File015.wav
P29,95,File035,NJ8,zh,V,92,121,ž,1071,0 4,z,NJ8_zhV_92_File035.wav
P29,59,File006,NJ5,s,C,0,173,s,855,0 1,s,NJ5_sC_0_File006.wav
P29,23,File004,NJ1,zh,C,0,126,ž,650,0 4,z,NJ1_zhC_0_File004.wav
P29,88,File033,NJ8,sh,V,11,172,š,825,0 3,s,NJ8_shV_11_File033.wav
P29,98,File017,NJ9,sh,C,0,149,s,634,0 1,s,NJ9_shC_0_File017.wav
P29,37,File018,NJ11,sh,C,0,102,š,846,0 3,s,NJ11_shC_0_File018.wav
P29,32,File006,NJ11,s,C,0,140,s,832,0 1,s,NJ11_sC_0_File006.wav
P29,90,File022,NJ8,z,C,100,112,z,909,0 2,z,NJ8_zC_100_File022.wav
P29,24,File044,NJ1,zh,C,8,129,ž,840,0 4,z,NJ1_zhC_8_File044.wav
P29,27,File012,NJ1,zh,C,50,123,ž,787,0 4,z,NJ1_zhC_50_File012.wav
P29,12,File006,NJ1,sh,C,20,204,š,911,0 3,s,NJ1_shC_20_File006.wav
P29,69,File032,NJ5,z,C,100,119,z,1520,0 2,z,NJ5_zC_100_File032.wav
P29,10,File004,NJ1,sh,C,10,207,š,1264,0 3,s,NJ1_shC_10_File004.wav
P29,81,File017,NJ8,s,C,0,72,z,1410,0 2,z,NJ8_sC_0_File017.wav
P29,80,File024,NJ5,zh,V,95,133,ž,1305,0 4,z,NJ5_zhV_95_File024.wav
P29,65,File004,NJ5,sh,C,7,283,š,664,0 3,s,NJ5_shC_7_File004.wav
P29,8,File005,NJ1,s,V,47,197,s,1137,0 1,s,NJ1_sV_47_File005.wav
P29,107,File003,NJ9,zh,V,29,146,š,791,0 3,s,NJ9_zhV_29_File003.wav
P29,39,File027,NJ11,sh,C,15,131,š,1548,0 3,s,NJ11_shC_15_File027.wav
P29,99,File043,NJ9,sh,V,13,163,ž,1086,0 4,z,NJ9_shV_13_File043.wav
P29,53,File012,NJ2,s,V,27,216,s,720,0 1,s,NJ2_sV_27_File012.wav
P29,55,File042,NJ2,z,C,11,179,s,830,0 1,s,NJ2_zC_11_File042.wav
P29,66,File017,NJ5,sh,V,5,188,š,839,0 3,s,NJ5_shV_5_File017.wav
P29,11,File016,NJ1,sh,C,15,200,š,857,0 3,s,NJ1_shC_15_File016.wav
