participant,itemNr,itemID,speaker,orig,CV,voicing,duration,answer,time,history,answer_batch,filename
P05,66,File017,NJ5,sh,V,5,188,s,1993,0 1,s,NJ5_shV_5_File017.wav
P05,60,File016,NJ5,s,C,8,127,s,2561,0 1,s,NJ5_sC_8_File016.wav
P05,19,File020,NJ1,z,C,25,119,š,2438,0 3,s,NJ1_zC_25_File020.wav
P05,86,File016,NJ8,sh,C,0,147,š,2398,0 3,s,NJ8_shC_0_File016.wav
P05,32,File006,NJ11,s,C,0,140,s,2525,0 1,s,NJ11_sC_0_File006.wav
P05,59,File006,NJ5,s,C,0,173,s,4399,0 0 1,s,NJ5_sC_0_File006.wav
P05,18,File042,NJ1,z,C,100,88,z,2260,0 2,z,NJ1_zC_100_File042.wav
P05,6,File016,NJ1,s,C,60,151,s,3074,0 1,s,NJ1_sC_60_File016.wav
P05,53,File012,NJ2,s,V,27,216,š,18125,0 0 3,s,NJ2_sV_27_File012.wav
P05,45,File044,NJ11,z,C,88,75,z,1257,0 2,z,NJ11_zC_88_File044.wav
P05,106,File008,NJ9,zh,V,100,118,z,899,0 2,z,NJ9_zhV_100_File008.wav
P05,10,File004,NJ1,sh,C,10,207,ž,1495,0 4,z,NJ1_shC_10_File004.wav
P05,36,File035,NJ11,s,V,33,148,s,2735,0 1,s,NJ11_sV_33_File035.wav
P05,42,File034,NJ11,sh,V,25,163,ž,1588,0 4,z,NJ11_shV_25_File034.wav
P05,28,File025,NJ1,zh,V,8,117,š,1904,0 3,s,NJ1_zhV_8_File025.wav
P05,99,File043,NJ9,sh,V,13,163,š,1861,0 3,s,NJ9_shV_13_File043.wav
P05,95,File035,NJ8,zh,V,92,121,z,1004,0 2,z,NJ8_zhV_92_File035.wav
P05,30,File013,NJ1,zh,V,33,148,s,1886,0 1,s,NJ1_zhV_33_File013.wav
P05,17,File020,NJ1,sh,V,42,186,š,1437,0 3,s,NJ1_shV_42_File020.wav
P05,82,File007,NJ8,s,C,15,131,s,1498,0 1,s,NJ8_sC_15_File007.wav
P05,21,File019,NJ1,z,V,56,92,š,3692,0 3,s,NJ1_zV_56_File019.wav
P05,81,File017,NJ8,s,C,0,72,z,1513,0 2,z,NJ8_sC_0_File017.wav
P05,13,File015,NJ1,sh,C,28,291,š,3378,0 3,s,NJ1_shC_28_File015.wav
P05,87,File017,NJ8,sh,C,29,77,z,4918,0 0 2,z,NJ8_shC_29_File017.wav
P05,62,File012,NJ5,s,V,17,182,s,1831,0 1,s,NJ5_sV_17_File012.wav
P05,68,File020,NJ5,sh,V,18,171,š,1383,0 3,s,NJ5_shV_18_File020.wav
P05,80,File024,NJ5,zh,V,95,133,z,2024,0 2,z,NJ5_zhV_95_File024.wav
P05,84,File035,NJ8,s,V,19,212,ž,1699,0 4,z,NJ8_sV_19_File035.wav
P05,14,File033,NJ1,sh,V,8,251,s,2464,0 1,s,NJ1_shV_8_File033.wav
P05,4,File029,NJ1,s,C,0,173,š,2241,0 3,s,NJ1_sC_0_File029.wav
